Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
2iBi9YrE,25/02/2024,00:00,FIJI - PREMIER LEAGUE,Ba,Tailevu Naitasiri,ROUND 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z59a7CDQ,25/02/2024,00:00,FIJI - PREMIER LEAGUE,Lautoka,Navua,ROUND 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QZR8pk6D,25/02/2024,00:00,FIJI - PREMIER LEAGUE,Nadi,Nasinu,ROUND 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trAe8hbK,25/02/2024,00:00,FIJI - PREMIER LEAGUE,Suva,Rewa,ROUND 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4l7AsIgH,25/02/2024,00:50,JAPAN - J2 LEAGUE,Ehime,Blaublitz,ROUND 1,2.9,3.0,2.63,1.53,2.38,1.1,7.0,1.5,2.5,2.6,1.48,5.0,1.17,13.0,1.04,2.1,1.67,2.85,1.4,1.5,2.5,6.5,6.5,11.0,26.0,7.0,6.0,11.0,26.0,13.0,12.0,19.0,41.0,29.0,29.0,41.0,67.0,1250.0
6ZAkntun,25/02/2024,01:00,JAPAN - J2 LEAGUE,Chiba,Montedio Yamagata,ROUND 1,2.05,3.6,3.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.8,1.91,2.03,1.83,1.3,3.45,10.0,11.0,17.0,41.0,7.5,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,26.0,51.0,251.0
MNGJv6p6,25/02/2024,02:00,JAPAN - J1 LEAGUE,Verdy,Yokohama F. Marinos,ROUND 1,4.33,4.0,1.75,1.33,3.25,1.04,13.0,1.25,3.75,1.75,2.05,3.0,1.36,5.5,1.14,1.75,2.0,3.8,1.22,2.05,1.72,12.0,8.0,9.0,15.0,13.0,7.0,8.5,13.0,23.0,15.0,15.0,23.0,41.0,34.0,34.0,41.0,201.0
S0HFunVa,25/02/2024,02:00,JAPAN - J1 LEAGUE,Kashiwa Reysol,Kyoto,ROUND 1,2.0,3.2,4.2,1.5,2.5,1.08,8.0,1.36,3.0,2.25,1.62,4.0,1.22,9.0,1.07,1.95,1.8,2.03,1.83,1.25,3.8,8.0,10.0,19.0,41.0,6.5,6.0,15.0,34.0,8.5,9.0,17.0,41.0,17.0,17.0,34.0,51.0,401.0
b3rhFfhg,25/02/2024,03:00,AUSTRALIA - A-LEAGUE,Newcastle Jets,Macarthur FC,ROUND 18,1.91,4.0,3.5,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.73,3.5,1.3,1.44,2.63,1.93,1.97,1.3,3.45,21.0,17.0,23.0,41.0,13.0,8.5,13.0,23.0,13.0,9.0,11.0,23.0,19.0,13.0,17.0,29.0,81.0
6To0DYM5,25/02/2024,03:00,AUSTRALIA - A-LEAGUE,Melbourne Victory,Central Coast Mariners,ROUND 18,1.91,3.6,4.0,1.3,3.4,1.04,13.0,1.22,4.33,1.7,2.1,2.75,1.44,5.0,1.17,1.62,2.2,1.92,1.98,1.28,3.55,13.0,13.0,21.0,41.0,9.0,7.0,13.0,29.0,10.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
xzwR7X3j,25/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Resources Capital,Eastern AA,ROUND 11,14.5,6.8,1.14,1.18,4.3,1.01,18.0,1.08,6.3,1.4,2.52,1.98,1.65,3.0,1.28,2.22,1.52,,,,,17.5,8.5,6.1,6.3,40.0,15.5,11.0,11.25,150.0,50.0,37.0,37.0,700.0,250.0,175.0,175.0,1000.0
nRDdnKx6,25/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Kitchee,HK U23,ROUND 19,1.02,15.0,28.0,1.01,11.0,,,1.01,11.0,1.05,8.5,1.11,5.5,1.2,3.88,1.85,1.75,,,,,150.0,700.0,,,90.0,120.0,350.0,,32.0,45.0,120.0,500.0,17.0,24.0,65.0,300.0,1000.0
fcKEy3Om,25/02/2024,05:30,HONG KONG - PREMIER LEAGUE,Hong Kong FC,Southern District,ROUND 16,3.65,4.1,1.75,1.22,3.8,1.01,15.0,1.12,5.2,1.45,2.4,2.07,1.6,3.2,1.25,1.47,2.32,,,,,18.0,11.0,10.75,15.5,16.5,8.75,8.5,12.0,25.0,13.0,12.5,18.0,55.0,28.0,28.0,40.0,200.0
WrJpiihd,25/02/2024,06:30,AUSTRIA - 2. LIGA,Admira,Ried,ROUND 17,3.95,3.6,1.82,1.39,2.77,1.05,7.6,1.28,3.35,1.85,1.9,2.95,1.35,5.1,1.13,1.75,1.95,,,1.95,1.8,7.6,7.4,8.75,15.0,11.5,7.0,8.25,14.0,22.0,13.0,15.0,25.0,60.0,35.0,40.0,65.0,500.0
x8MsR6F7,25/02/2024,07:00,ANDORRA - PRIMERA DIVISIÓ,Carroi,Atletic Escaldes,ROUND 18,24.0,11.2,1.04,1.09,6.1,,,1.03,9.1,1.17,4.5,1.44,2.51,2.0,1.74,2.0,1.77,,,,,,,,,,,,,,,,,,,,,
YZarBBel,25/02/2024,08:00,INDIA - I-LEAGUE,Sreenidi Deccan,Namdhari,ROUND 16,1.22,5.8,10.25,1.22,3.8,1.01,15.5,1.1,5.55,1.42,2.47,2.02,1.62,3.1,1.27,1.91,1.7,,,,,18.0,32.0,80.0,300.0,9.0,12.5,32.0,120.0,6.8,9.5,25.0,90.0,7.4,10.25,27.0,100.0,700.0
htrPyUAG,25/02/2024,08:15,NETHERLANDS - EREDIVISIE,Excelsior,Vitesse,ROUND 23,2.1,3.8,3.2,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.67,2.1,2.08,1.73,1.4,2.85,13.0,11.0,17.0,34.0,9.0,7.5,11.0,23.0,11.0,9.0,15.0,29.0,19.0,15.0,23.0,41.0,151.0
KCsMvskL,25/02/2024,08:30,ITALY - SERIE A,Juventus,Frosinone,ROUND 26,1.3,5.5,9.5,1.3,3.4,1.04,13.0,1.22,4.33,1.67,2.15,2.75,1.44,5.0,1.17,2.05,1.7,1.3,3.45,1.1,7.0,13.0,21.0,41.0,126.0,7.0,10.0,26.0,67.0,6.5,8.5,23.0,51.0,8.0,11.0,29.0,67.0,451.0
tzIkrgx3,25/02/2024,09:00,FRANCE - LIGUE 1,Lens,Monaco,ROUND 23,2.38,3.5,2.9,1.33,3.25,1.04,13.0,1.22,4.33,1.75,2.05,2.75,1.44,5.0,1.17,1.62,2.2,2.3,1.6,1.43,2.75,12.0,11.0,15.0,29.0,9.5,6.5,11.0,21.0,13.0,9.5,12.0,26.0,23.0,17.0,23.0,41.0,151.0
0nRwg1Fp,25/02/2024,09:30,AZERBAIJAN - PREMIER LEAGUE,Araz,Zira,ROUND 24,2.3,3.05,3.05,1.5,2.25,1.05,7.0,1.42,2.47,2.2,1.52,3.7,1.19,8.4,1.03,1.91,1.7,,,,,7.3,7.8,14.5,40.0,6.4,5.9,11.25,30.0,10.25,9.5,16.5,45.0,23.0,22.0,37.0,100.0,900.0
lxcHnm4i,25/02/2024,09:30,BELGIUM - JUPILER PRO LEAGUE,Club Brugge KV,Anderlecht,ROUND 27,1.73,3.75,4.75,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.67,2.1,1.73,2.08,1.21,4.25,13.0,15.0,26.0,51.0,8.5,7.5,15.0,34.0,9.0,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
