Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
bHDjT7ql,03/02/2024,00:00,MEXICO - LIGA MX,Puebla,Mazatlan FC,CLAUSURA ,1.95,3.8,3.6,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.57,2.25,1.95,1.9,1.3,3.45,15.0,13.0,21.0,41.0,10.0,7.5,12.0,26.0,11.0,8.5,12.0,29.0,17.0,15.0,21.0,41.0,126.0
t6zindO6,03/02/2024,03:00,AUSTRALIA - A-LEAGUE,Western United,Sydney FC,ROUND 15,3.8,4.2,1.83,1.25,3.75,1.02,19.0,1.14,5.5,1.44,2.7,2.1,1.73,3.75,1.29,1.5,2.5,3.55,1.28,2.03,1.78,21.0,12.0,12.0,17.0,17.0,8.5,9.0,13.0,23.0,13.0,12.0,19.0,41.0,26.0,26.0,34.0,101.0
zTZfoGwD,03/02/2024,04:00,AUSTRALIA - A-LEAGUE,Newcastle Jets,Melbourne Victory,ROUND 15,3.8,3.75,1.91,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.57,4.33,1.22,1.53,2.38,3.55,1.28,1.95,1.95,15.0,10.0,11.0,17.0,15.0,7.5,8.5,13.0,21.0,13.0,12.0,21.0,41.0,26.0,29.0,34.0,126.0
fHriEZQM,03/02/2024,04:00,HONG KONG - PREMIER LEAGUE,Hong Kong Rangers,Southern District,ROUND 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n3wapzgJ,03/02/2024,05:45,AUSTRALIA - A-LEAGUE,Adelaide United,Central Coast Mariners,ROUND 15,2.6,3.6,2.5,1.22,4.0,1.02,19.0,1.11,6.5,1.4,2.88,2.0,1.8,3.4,1.33,1.36,3.0,2.5,1.5,1.55,2.38,23.0,15.0,17.0,26.0,17.0,8.0,10.0,17.0,19.0,11.0,10.0,19.0,29.0,17.0,19.0,26.0,67.0
xKnoEbNh,03/02/2024,06:00,BANGLADESH - PREMIER LEAGUE,Sheikh Jamal,Chittagong Abahani,ROUND 6,1.62,4.0,4.15,1.26,3.5,1.02,11.5,1.15,4.5,1.53,2.18,2.34,1.5,4.05,1.18,1.59,2.29,,,,,15.0,13.0,21.0,50.0,7.8,7.1,11.75,28.0,7.7,7.1,11.75,28.0,10.75,10.0,16.5,40.0,200.0
fesjDIxa,03/02/2024,06:00,BANGLADESH - PREMIER LEAGUE,Fortis,Brothers U.,ROUND 6,1.39,4.25,6.3,1.22,3.8,1.01,12.5,1.13,5.2,1.46,2.45,2.12,1.57,3.56,1.23,1.65,2.18,,,,,15.5,19.0,40.0,110.0,7.6,7.8,16.5,45.0,6.8,7.0,12.5,35.0,8.5,8.75,16.0,40.0,200.0
Y7seDgtT,03/02/2024,07:00,HONG KONG - PREMIER LEAGUE,Lee Man Warriors,Hong Kong FC,ROUND 11,1.14,7.0,13.5,,,,,1.05,9.0,1.27,3.1,1.65,1.98,2.42,1.44,1.83,1.78,,,,,24.0,50.0,150.0,600.0,12.0,16.5,45.0,200.0,8.0,10.75,28.0,120.0,7.5,10.25,26.0,100.0,600.0
b34y4l68,03/02/2024,07:30,TURKEY - 1. LIG,Umraniyespor,Bodrumspor,ROUND 21,2.7,3.4,2.5,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,3.5,1.29,7.0,1.1,1.8,1.91,2.6,1.48,1.53,2.43,10.0,8.5,12.0,23.0,9.0,6.5,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,251.0
AmBgu5T7,03/02/2024,07:30,TURKEY - 1. LIG,Keciorengucu,Boluspor,ROUND 21,2.3,3.5,2.9,1.44,2.63,1.06,9.5,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.83,1.83,2.25,1.63,1.4,2.85,9.5,8.5,15.0,29.0,7.5,6.5,11.0,23.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,301.0
nXv2JQI5,03/02/2024,07:30,TURKEY - SUPER LIG,Rizespor,Konyaspor,ROUND 24,1.8,3.6,4.33,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.83,1.83,1.8,2.05,1.22,4.15,10.0,12.0,21.0,41.0,7.0,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
t49Y2gnU,03/02/2024,08:00,INDIA - I-LEAGUE,Neroca FC,TRAU FC,ROUND 12,2.3,3.6,2.55,,,1.01,17.0,1.1,6.5,1.4,2.88,2.1,1.73,3.5,1.29,1.36,2.88,,,,,15.0,12.0,15.0,23.0,12.0,6.5,8.5,14.0,12.0,7.5,8.0,14.0,20.0,12.0,13.0,21.0,101.0
C2Mpuso7,03/02/2024,08:00,PORTUGAL - LIGA PORTUGAL 2,Leiria,FC Porto B,ROUND 20,2.25,3.3,3.0,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.8,1.91,2.25,1.63,1.38,3.0,10.0,9.5,15.0,34.0,8.0,6.5,11.0,23.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
