Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
4UlA1GKg,02/08/2023,08:00,VIETNAM - V.LEAGUE 1,Hong Linh Ha Tinh,Thanh Hoa,CHAMPIONSHIP GROUP ,3.83,3.68,1.83,1.01,11.5,1.21,3.74,1.74,2.07,2.71,1.38,4.95,1.12,1.64,2.2,,,,,,,,,,,,,,,,,,,,,
A7k62d5m,02/08/2023,08:00,VIETNAM - V.LEAGUE 1,Nam Dinh,Cong An,CHAMPIONSHIP GROUP ,3.7,3.4,1.94,1.03,8.4,1.31,3.04,2.04,1.76,3.48,1.24,6.65,1.06,1.82,1.94,,,,,7.5,6.0,8.0,15.0,8.5,5.5,7.5,13.0,14.0,9.5,11.0,21.0,34.0,23.0,31.0,56.0,201.0
G4hE0zz0,02/08/2023,09:15,VIETNAM - V.LEAGUE 1,Hanoi FC,Hai Phong,CHAMPIONSHIP GROUP ,1.59,3.8,5.36,1.02,8.7,1.29,3.14,1.99,1.8,3.34,1.26,6.35,1.07,1.95,1.81,,,,,8.5,12.0,23.0,67.0,5.5,6.0,14.0,41.0,6.0,6.5,12.0,51.0,9.5,10.0,20.0,71.0,201.0
rNjqu0i1,02/08/2023,12:00,USA - USL CHAMPIONSHIP,Loudoun,Memphis,-,3.1,3.68,2.06,1.03,12.3,1.14,4.65,1.52,2.3,2.39,1.56,3.94,1.19,1.47,2.6,,,,,10.0,7.5,9.0,15.0,10.0,6.0,7.0,12.0,15.0,9.0,9.0,17.0,34.0,20.0,21.0,34.0,201.0
tvpOWZtk,02/08/2023,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Estudiantes L.P. (Arg),Goias (Bra),PLAY OFFS ,1.53,3.6,7.5,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,2.2,1.62,1.53,2.43,1.11,6.6,8.0,15.0,34.0,81.0,5.5,7.0,21.0,51.0,6.5,9.0,21.0,51.0,10.0,15.0,34.0,81.0,201.0
xA9MoIst,02/08/2023,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Botafogo RJ (Bra),Guarani (Par),PLAY OFFS ,1.36,4.33,10.0,1.05,11.0,1.25,3.75,1.83,2.03,3.0,1.36,5.5,1.14,2.2,1.62,1.35,3.1,,,10.0,21.0,41.0,126.0,6.5,8.5,29.0,67.0,6.0,9.0,21.0,67.0,8.5,12.0,29.0,67.0,201.0
tKsyfNad,02/08/2023,19:00,BRAZIL - SERIE B,Criciuma,Ponte Preta,ROUND 21,1.95,3.18,4.41,1.08,6.05,1.59,2.39,2.61,1.42,5.2,1.11,10.5,8.0,2.33,1.57,,,,,6.0,11.0,26.0,101.0,4.5,6.5,20.0,76.0,6.5,8.5,23.0,101.0,12.0,18.0,46.0,201.0,201.0
fNVII6xc,02/08/2023,19:00,BRAZIL - SERIE B,Ituano,Tombense,ROUND 21,2.31,3.18,3.26,1.06,6.7,1.44,2.53,2.48,1.55,4.55,1.15,9.0,1.02,2.05,1.73,,,,,7.0,8.5,15.0,41.0,6.5,6.0,11.0,31.0,9.5,9.0,15.0,51.0,20.0,20.0,34.0,91.0,201.0
zLapQ3M3,02/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Pereira (Col),Ind. del Valle (Ecu),PLAY OFFS ,3.2,3.1,2.4,1.07,8.5,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.8,1.95,3.0,1.38,1.58,2.35,8.5,7.5,11.0,23.0,9.0,6.0,9.5,21.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
MkB0ICKf,02/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Nacional (Uru),Boca Juniors (Arg),PLAY OFFS ,2.9,3.0,2.7,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.75,2.75,1.43,1.48,2.6,7.0,7.0,12.0,26.0,7.5,6.0,11.0,23.0,13.0,11.0,17.0,41.0,29.0,26.0,41.0,67.0,451.0
E5sj9qbd,02/08/2023,21:30,COLOMBIA - PRIMERA A,Santa Fe,Ind. Medellin,CLAUSURA ,1.91,3.5,4.0,1.07,9.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.91,1.8,1.9,1.95,1.25,3.8,9.0,10.0,21.0,41.0,6.5,6.5,13.0,34.0,8.5,9.0,17.0,41.0,15.0,17.0,29.0,51.0,351.0
2TrXf3pj,02/08/2023,21:30,BRAZIL - SERIE B,Vila Nova FC,Sport Recife,ROUND 21,2.32,2.96,3.52,1.09,5.75,1.59,2.39,2.64,1.41,5.2,1.11,10.5,8.25,2.23,1.62,,,,,6.5,7.5,14.0,36.0,6.0,5.5,11.0,31.0,10.0,9.5,17.0,56.0,23.0,23.0,41.0,101.0,201.0
GU7hOsiG,02/08/2023,21:30,SOUTH AMERICA - COPA LIBERTADORES,Atletico-MG (Bra),Palmeiras (Bra),PLAY OFFS ,2.5,3.2,2.9,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,1.95,1.8,2.43,1.53,1.4,2.85,8.0,8.0,13.0,29.0,7.0,6.0,11.0,26.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,51.0,351.0
YBk3cd6l,02/08/2023,21:30,BRAZIL - SERIE B,Londrina,Chapecoense-SC,ROUND 21,2.56,2.96,3.08,1.07,6.15,1.44,2.53,2.48,1.55,4.45,1.16,8.8,1.02,2.02,1.75,,,,,7.0,7.5,12.0,31.0,7.0,5.5,10.0,26.0,11.0,10.0,15.0,41.0,26.0,23.0,36.0,91.0,201.0
fLjabxir,02/08/2023,21:30,BRAZIL - SERIE B,Juventude,Novorizontino,ROUND 21,2.55,2.88,3.18,1.09,5.75,1.56,2.46,2.54,1.44,4.85,1.13,9.8,1.01,2.13,1.68,,,,,6.0,7.0,12.0,31.0,6.5,5.5,11.0,26.0,11.0,10.0,17.0,46.0,26.0,26.0,46.0,101.0,201.0
phlSeqVq,02/08/2023,21:30,BRAZIL - SERIE B,Guarani,Ceara,ROUND 21,2.21,3.16,3.51,1.06,6.55,1.46,2.48,2.54,1.53,4.7,1.14,9.2,1.02,2.11,1.69,,,,,6.5,8.0,15.0,41.0,6.0,6.0,11.0,31.0,10.0,9.0,15.0,51.0,21.0,21.0,36.0,91.0,201.0
lMORGp79,02/08/2023,21:30,BRAZIL - SERIE B,Vitoria,ABC,ROUND 21,1.78,3.42,5.01,1.06,6.6,1.46,2.48,2.51,1.54,4.65,1.15,9.2,1.02,2.27,1.6,,,,,7.5,15.0,41.0,201.0,4.5,8.0,26.0,101.0,5.5,8.5,26.0,126.0,9.0,14.0,41.0,201.0,201.0
