Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
hlEqz63O,15/01/2024,12:00,NIGERIA - NPFL,Bayelsa United,Bendel,ROUND 18,2.05,2.9,3.85,1.7,2.0,1.14,4.25,1.65,1.98,2.87,1.31,6.65,1.06,,,2.45,1.42,1.95,1.75,,,4.25,7.1,18.0,65.0,4.65,6.3,16.0,60.0,7.7,10.5,27.0,100.0,18.5,25.0,65.0,250.0,
QyNSwl4a,15/01/2024,12:00,NIGERIA - NPFL,Sporting Lagos,Shooting,ROUND 18,1.6,3.25,6.4,1.65,2.0,1.13,4.35,1.62,2.02,2.77,1.34,,,,,2.77,1.33,,,,,4.35,10.25,35.0,175.0,4.0,7.5,26.0,120.0,5.5,10.25,37.0,175.0,10.75,20.0,70.0,350.0,
M3hcgT3n,15/01/2024,12:00,NIGERIA - NPFL,Lobi Stars,Kano Pillars,ROUND 18,1.42,3.85,7.7,1.5,2.25,,,1.42,2.45,2.22,1.52,3.8,1.18,,,2.55,1.4,,,,,7.2,13.5,45.0,250.0,4.55,8.25,28.0,150.0,5.2,9.5,32.0,150.0,8.5,15.5,55.0,250.0,
4SLWx8J5,15/01/2024,12:00,NIGERIA - NPFL,Katsina Utd,Remo Stars,ROUND 18,1.83,3.0,4.75,1.7,2.0,1.14,4.25,1.65,1.98,2.85,1.32,6.45,1.07,,,2.57,1.39,1.8,1.91,,,4.25,8.25,24.0,100.0,4.3,6.7,19.5,80.0,6.6,10.25,30.0,120.0,14.5,23.0,65.0,300.0,
ngEHp9GB,15/01/2024,14:00,TURKEY - SUPER LIG,Galatasaray,Kayserispor,ROUND 20,1.25,6.5,8.5,1.22,4.0,1.01,23.0,1.11,6.5,1.36,3.1,1.91,1.8,3.25,1.33,1.8,1.91,1.26,3.7,1.11,6.8,23.0,26.0,41.0,101.0,10.0,13.0,23.0,51.0,8.0,9.5,21.0,41.0,8.5,10.0,21.0,51.0,201.0
SMnZQE8c,15/01/2024,14:00,TURKEY - 1. LIG,Altay,Sanliurfaspor,ROUND 18,3.5,3.4,1.85,1.4,2.75,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.73,2.0,3.45,1.3,1.83,1.98,11.0,7.5,9.5,17.0,11.0,7.0,9.0,15.0,19.0,13.0,15.0,26.0,41.0,29.0,34.0,51.0,201.0
K0PzFce9,15/01/2024,14:15,FRANCE - NATIONAL,Sochaux,Nimes,ROUND 17,1.65,3.55,5.1,1.42,2.65,1.06,7.1,1.31,3.15,1.93,1.8,3.2,1.31,5.6,1.11,1.88,1.82,1.65,2.15,,,7.1,13.5,30.0,90.0,6.3,6.9,16.0,50.0,7.4,8.0,16.0,50.0,12.5,14.0,28.0,80.0,700.0
4YE2BBQ9,15/01/2024,15:45,PORTUGAL - LIGA PORTUGAL 2,Mafra,Nacional,ROUND 17,2.55,3.4,2.6,1.36,3.0,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.67,2.1,2.43,1.53,1.48,2.6,11.0,9.5,13.0,26.0,9.0,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
xUJbRv3f,15/01/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Jong PSV,Den Bosch,ROUND 21,2.0,4.0,3.25,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.53,2.38,1.98,1.88,1.33,3.3,17.0,13.0,19.0,34.0,10.0,8.0,12.0,23.0,11.0,9.0,13.0,26.0,19.0,15.0,21.0,41.0,126.0
8fFfSKml,15/01/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Jong Utrecht,Venlo,ROUND 21,2.9,3.8,2.25,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.67,2.1,2.85,1.4,1.65,2.2,13.0,9.0,12.0,21.0,11.0,7.0,9.0,17.0,15.0,11.0,13.0,23.0,29.0,21.0,29.0,41.0,151.0
