Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
UkaUhqYj,10/08/2023,08:00,VIETNAM - V.LEAGUE 1,Hong Linh Ha Tinh,Hai Phong,CHAMPIONSHIP GROUP ,2.49,3.22,2.67,1.03,8.3,1.32,2.98,2.07,1.74,3.48,1.24,6.8,1.06,1.77,2.0,,,,,7.5,7.0,10.0,21.0,7.0,5.0,8.0,17.0,10.0,8.0,10.0,26.0,23.0,17.0,26.0,56.0,201.0
40ulUHha,10/08/2023,11:00,EUROPE - EUROPA CONFERENCE LEAGUE,Tobol (Kaz),Derry City (Nir),QUALIFICATION ,1.75,3.4,4.0,1.05,8.5,1.4,2.75,2.2,1.65,4.0,1.22,7.5,1.07,2.1,1.67,1.8,2.0,1.23,4.0,8.5,9.5,21.0,41.0,6.0,7.5,15.0,41.0,7.5,9.0,21.0,41.0,13.0,17.0,34.0,67.0,201.0
lrSskGWk,10/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Nasaf Qarshi,Buxoro,ROUND 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6JxwjdHq,10/08/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Navbahor Namangan,Pakhtakor,ROUND 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ncY6VYHa,10/08/2023,12:00,EUROPE - EUROPA CONFERENCE LEAGUE,Struga (Mkd),Hesperange (Lux),QUALIFICATION ,2.75,3.6,2.4,1.06,8.0,1.36,3.0,2.1,1.7,3.75,1.25,7.0,1.08,1.91,1.8,2.6,1.48,1.55,2.38,9.0,7.5,11.0,23.0,8.0,7.0,10.0,21.0,13.0,11.0,17.0,34.0,29.0,23.0,34.0,51.0,151.0
jRQA4xxt,10/08/2023,12:30,IRAN - PERSIAN GULF PRO LEAGUE,Sepahan,Tractor,ROUND 1,1.62,3.5,5.83,1.07,6.8,1.47,2.5,2.37,1.52,4.3,1.18,8.2,1.04,2.46,1.48,,,,,6.5,10.0,23.0,91.0,4.5,6.0,15.0,61.0,5.5,7.0,17.0,81.0,10.0,13.0,31.0,126.0,201.0
4WLjas00,10/08/2023,12:30,IRAN - PERSIAN GULF PRO LEAGUE,Havadar SC,Mes Rafsanjan,ROUND 1,4.87,2.9,1.82,1.13,5.2,1.66,2.1,2.88,1.4,5.5,1.11,10.5,1.01,2.5,1.5,,,,,5.0,4.33,6.0,12.0,8.0,5.5,8.0,15.0,19.0,14.0,19.0,41.0,76.0,56.0,81.0,176.0,201.0
numxHucK,10/08/2023,12:30,FINLAND - YKKONEN,TPS,JJK Jyvaskyla,-,1.18,6.0,10.0,1.02,21.0,1.13,6.0,1.4,2.88,2.0,1.73,3.4,1.3,2.0,1.73,1.21,4.25,,,19.0,29.0,51.0,151.0,9.0,13.0,29.0,67.0,7.0,9.5,23.0,51.0,7.5,11.0,26.0,67.0,301.0
O2ekSeNB,10/08/2023,13:00,EUROPE - EUROPA CONFERENCE LEAGUE,Sabah Baku (Aze),Partizan (Srb),QUALIFICATION ,3.0,3.3,2.05,1.06,8.0,1.36,3.0,2.15,1.67,4.0,1.22,7.0,1.08,1.91,1.8,3.1,1.35,1.7,2.1,8.5,7.0,9.5,19.0,8.5,7.0,9.5,19.0,15.0,12.0,17.0,34.0,34.0,29.0,41.0,51.0,201.0
OhEk6oKH,10/08/2023,13:00,EUROPE - EUROPA LEAGUE,Qarabag (Aze),HJK (Fin),QUALIFICATION ,1.3,5.0,8.5,1.02,11.0,1.29,3.5,1.85,1.95,3.25,1.33,5.5,1.13,2.5,1.5,1.3,3.45,,,11.0,17.0,41.0,101.0,6.0,10.0,26.0,67.0,5.5,9.5,29.0,67.0,7.5,13.0,34.0,101.0,201.0
