Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
WtjbyQr9,14/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Cimarrones de Sonora,Atlante,APERTURA ,2.43,3.2,2.89,1.46,2.6,1.04,7.7,1.35,2.84,2.18,1.68,3.74,1.21,7.4,1.04,1.84,1.92,,,,,6.5,7.0,11.0,23.0,6.5,5.0,8.5,20.0,9.5,8.0,12.0,31.0,21.0,17.0,26.0,61.0,201.0
QNRuXuSL,14/08/2023,05:00,INDONESIA - LIGA 1,Dewa United,PSIS Semarang,ROUND 8,2.07,3.48,3.24,1.35,2.94,1.01,9.8,1.24,3.48,1.83,1.95,2.93,1.33,5.45,1.1,1.65,2.18,,,,,9.5,9.5,15.0,34.0,7.0,6.0,10.0,21.0,9.0,7.5,11.0,29.0,15.0,13.0,19.0,46.0,67.0
hI738ru5,14/08/2023,07:00,SOUTH KOREA - K LEAGUE 2,Bucheon FC 1995,Gyeongnam,ROUND 26,2.5,3.25,2.5,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.73,2.0,2.5,1.5,1.5,2.5,11.0,9.0,13.0,26.0,9.0,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
W86772fB,14/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Cheonan City,Gimpo FC,ROUND 26,3.6,3.0,2.1,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,4.33,1.2,10.0,1.06,1.91,1.8,3.55,1.28,1.73,2.08,7.5,6.5,9.5,19.0,9.5,6.0,9.5,19.0,17.0,13.0,15.0,34.0,41.0,34.0,41.0,51.0,351.0
vyNJslcH,14/08/2023,09:00,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Sukhothai,ROUND 1,1.94,3.5,3.72,1.4,2.81,1.02,8.8,1.28,3.2,1.97,1.83,3.28,1.27,6.2,1.07,1.77,2.0,,,,,8.0,9.5,15.0,41.0,6.0,5.5,10.0,26.0,7.5,7.0,11.0,34.0,13.0,12.0,21.0,51.0,201.0
4EQqWasS,14/08/2023,09:00,INDONESIA - LIGA 1,Arema FC,RANS Nusantara,ROUND 8,2.47,3.45,2.55,1.32,3.1,10.5,1.01,1.21,3.74,1.75,2.05,2.71,1.38,5.0,1.12,1.57,2.33,,,,,11.0,9.0,12.0,21.0,8.5,6.0,8.5,15.0,12.0,8.0,10.0,21.0,21.0,15.0,21.0,41.0,67.0
8txw9x7c,14/08/2023,10:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Torpedo Kutaisi,ROUND 21,5.21,3.98,1.57,1.33,3.04,1.01,11.0,1.22,3.65,1.78,2.01,2.79,1.36,5.2,1.13,1.79,1.98,,,,,10.0,6.0,6.0,9.5,13.0,6.5,6.0,9.5,26.0,14.0,12.0,19.0,81.0,41.0,46.0,61.0,201.0
fwQd2bQC,14/08/2023,10:00,ARMENIA - PREMIER LEAGUE,Alashkert,Van,ROUND 3,1.54,4.05,5.45,1.34,2.99,1.01,10.0,1.22,3.64,1.8,1.99,2.84,1.35,5.25,1.11,1.82,1.94,,,,,9.5,13.0,26.0,81.0,5.5,6.5,15.0,41.0,6.0,6.5,13.0,46.0,8.5,10.0,20.0,61.0,201.0
IVRFun6t,14/08/2023,11:00,UKRAINE - PREMIER LEAGUE,Shakhtar Donetsk,Oleksandriya,ROUND 3,1.35,5.1,8.6,1.33,3.15,1.01,15.5,1.22,4.1,1.71,2.14,2.75,1.44,4.9,1.16,2.05,1.73,,,,,12.0,21.0,51.0,67.0,6.0,9.0,23.0,67.0,5.5,7.0,17.0,67.0,7.5,9.5,21.0,67.0,67.0
E3GC3Top,14/08/2023,11:30,ROMANIA - LIGA 2,FC Arges,Mioveni,ROUND 2,1.61,3.78,5.17,1.36,2.9,1.02,10.0,1.23,3.56,1.81,1.98,2.84,1.35,5.9,1.1,1.79,1.98,,,,,9.5,13.0,23.0,67.0,6.0,6.5,15.0,41.0,6.5,7.0,13.0,51.0,11.0,11.0,21.0,67.0,101.0
xrkhHFLo,14/08/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Abha,Al Hilal,ROUND 1,5.25,3.4,1.65,1.29,3.5,1.01,15.0,1.17,4.5,1.57,2.35,2.25,1.57,4.0,1.22,1.62,2.2,5.25,1.16,2.2,1.65,15.0,10.0,9.5,13.0,19.0,7.0,9.0,12.0,29.0,17.0,12.0,21.0,51.0,41.0,41.0,41.0,126.0
