Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
Op63EZOd,02/04/2024,05:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Melbourne City,ROUND 21,2.2,3.8,3.0,1.6,2.3,1.53,2.38
lCL97E5e,02/04/2024,07:30,SOUTH KOREA - K LEAGUE 1,Pohang,Suwon FC,ROUND 5,1.67,4.0,4.0,1.88,1.98,1.8,1.91
WzBE6YK1,02/04/2024,07:30,SOUTH KOREA - K LEAGUE 1,Daejeon,Ulsan HD,ROUND 5,4.0,3.6,1.75,2.0,1.85,1.83,1.83
8dd2XVmK,02/04/2024,08:00,TURKEY - 1. LIG,Sanliurfaspor,Sakaryaspor,ROUND 28,2.55,3.25,2.55,2.05,1.75,1.83,1.83
M3xwRTQm,02/04/2024,08:00,TURKEY - 1. LIG,Keciorengucu,Corum,ROUND 28,2.7,3.2,2.4,2.1,1.7,1.83,1.83
U5cbYBYD,02/04/2024,11:00,TURKEY - 1. LIG,Boluspor,Genclerbirligi,ROUND 28,2.3,3.25,2.8,2.2,1.65,1.91,1.8
hEBAAKnt,02/04/2024,11:00,BULGARIA - PARVA LIGA,Etar,Arda,ROUND 27,4.75,3.5,1.8,2.25,1.62,2.1,1.67
jcu4DD85,02/04/2024,11:00,TURKEY - SUPER LIG,Istanbulspor AS,Rizespor,ROUND 31,4.0,3.6,1.85,1.7,2.1,1.67,2.1
82LQLYsr,02/04/2024,11:30,SERBIA - SUPER LIGA,Novi Pazar,TSC,ROUND 28,3.3,3.2,2.15,1.98,1.78,1.75,1.98
W2yfi111,02/04/2024,13:00,SERBIA - PRVA LIGA,Metalac,Radnicki Beograd,ROUND 28,1.78,3.05,4.6,2.35,1.47,2.17,1.66
p6ubjLG7,02/04/2024,13:00,SERBIA - PRVA LIGA,Sloboda,Dubocica,ROUND 28,2.22,2.8,3.3,2.88,1.34,2.32,1.58
CbSy5OvL,02/04/2024,13:00,POLAND - DIVISION 1,Wisla Plock,S. Rzeszow,ROUND 25,1.75,3.6,4.0,1.67,2.15,1.62,2.2
Ghz5kyHU,02/04/2024,13:30,BULGARIA - PARVA LIGA,Slavia Sofia,Pirin Blagoevgrad,ROUND 27,1.5,4.0,8.5,2.1,1.7,2.38,1.53
0SStYwLi,02/04/2024,13:30,DENMARK - 1ST DIVISION,Fredericia,Vendsyssel,PROMOTION GROUP ,2.7,3.6,2.5,1.73,2.08,1.57,2.25
G6ccw1DF,02/04/2024,13:30,SERBIA - SUPER LIGA,Vojvodina,Cukaricki,ROUND 28,2.07,3.2,3.5,2.05,1.72,1.8,1.9
Q3PLBzhm,02/04/2024,13:45,NETHERLANDS - EREDIVISIE,Vitesse,Sparta Rotterdam,ROUND 28,2.7,3.6,2.5,1.8,2.0,1.67,2.1
IDzVO5ws,02/04/2024,14:00,NORWAY - ELITESERIEN,KFUM Oslo,HamKam,ROUND 1,2.25,3.4,3.25,1.9,1.95,1.67,2.1
YgSqeROu,02/04/2024,14:00,POLAND - EKSTRAKLASA,Warta Poznan,Zaglebie,ROUND 26,2.9,3.0,2.63,2.4,1.53,2.0,1.75
jNfUufZD,02/04/2024,14:00,SERBIA - SUPER LIGA,Zeleznicar Pancevo,Radnik,ROUND 28,1.62,3.55,5.6,2.0,1.75,1.95,1.75
YPlsxWMr,02/04/2024,14:00,DENMARK - SUPERLIGA,Odense,Vejle,RELEGATION GROUP ,1.91,3.4,4.33,2.08,1.73,1.95,1.8
MwmyxDjf,02/04/2024,14:00,SWEDEN - SUPERETTAN,Oster,Degerfors,ROUND 1,1.85,3.75,3.5,1.7,2.1,1.62,2.2
4QShvxWh,02/04/2024,14:30,SOUTH AFRICA - PREMIER LEAGUE,Kaizer Chiefs,Stellenbosch,ROUND 23,2.1,3.0,3.65,2.32,1.55,2.0,1.72
QZTluIGn,02/04/2024,14:30,SOUTH AFRICA - PREMIER LEAGUE,AmaZulu,Polokwane,ROUND 23,2.22,2.82,3.65,2.65,1.42,2.18,1.62
YaXdwdoa,02/04/2024,14:30,SOUTH AFRICA - PREMIER LEAGUE,Sekhukhune,Cape Town City,ROUND 23,2.62,2.82,2.92,2.67,1.42,2.15,1.62
hCM0Egga,02/04/2024,14:30,TURKEY - SUPER LIG,Antalyaspor,Ankaragucu,ROUND 31,2.05,3.4,3.75,2.15,1.67,1.91,1.8
Ch1Rafv6,02/04/2024,14:30,TURKEY - SUPER LIG,Galatasaray,Hatayspor,ROUND 31,1.14,9.0,17.0,1.4,2.88,2.2,1.62
nBgvchOO,02/04/2024,14:30,TURKEY - SUPER LIG,Gaziantep,Alanyaspor,ROUND 31,2.25,3.3,3.25,2.03,1.83,1.8,1.91
6kP9zfVH,02/04/2024,14:30,SOUTH AFRICA - PREMIER LEAGUE,Mamelodi Sundowns,Richards Bay,ROUND 23,1.3,4.8,9.75,1.82,1.91,2.35,1.53
