League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Egypt Egyptian Premier League,2024-02-13,11:00:00,12,El Gounah,Al Masry,3.5,1.99,3.6,2.76,3.15,2.92,1.46,2.6,1.04,7.7,1.36,2.79,2.32,1.71,1.92,1.82,1.39,1.3,1.48,1.0,1.4,1.51,1.06,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,0.0
Portugal Liga NOS,2024-02-13,12:30:00,21,Gil Vicente,FC Vizela,0.0,0.0,0.0,2.08,3.62,3.53,0.0,0.0,0.0,0.0,0.0,0.0,1.87,1.99,0.0,0.0,0.0,0.0,0.0,1.73,1.0,1.09,1.21,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic First League,2024-02-13,14:00:00,17,Baník Ostrava,Viktoria Plzeň,3.0,2.25,2.88,3.02,3.35,2.31,1.3,3.4,1.04,10.0,1.2,4.33,1.85,1.93,1.53,2.38,1.55,1.22,1.47,1.4,1.9,2.03,1.69,3.72,1.91,8.5,2.1,1.11,6.0,1.23,3.56,1.43,2.62,1.83,1.98,2.16,1.7
Egypt Egyptian Premier League,2024-02-13,14:00:00,12,Smouha SC,National Bank of Egypt,3.1,2.0,3.6,2.38,3.0,3.0,1.45,2.72,1.01,3.0,1.39,3.0,2.25,1.62,1.91,1.8,1.44,1.45,1.52,1.83,1.17,1.62,1.4,3.02,1.69,8.7,2.43,1.22,3.65,1.42,2.57,2.38,2.01,2.25,1.63,2.93,1.33
England EFL League Two,2024-02-13,16:45:00,33,Barrow,Forest Green Rovers,2.3,2.2,5.0,1.81,3.61,4.19,1.4,2.75,1.04,12.0,1.27,3.4,1.9,1.88,1.83,1.83,1.17,1.23,2.1,1.93,0.79,1.39,1.2,2.59,1.41,9.0,3.49,1.26,3.34,1.48,2.4,1.9,1.9,2.38,1.49,3.2,1.28
England EFL League Two,2024-02-13,16:45:00,33,Bradford City,Milton Keynes Dons,3.0,2.2,3.4,2.24,3.29,3.2,1.36,3.0,1.04,10.0,1.24,3.6,1.98,1.81,1.67,2.1,1.41,1.29,1.57,1.36,1.29,1.43,1.4,2.83,1.95,8.0,2.05,1.21,3.74,1.41,2.6,1.73,1.99,2.17,1.58,2.91,1.33
England EFL League Two,2024-02-13,16:45:00,33,Colchester United,Grimsby Town,2.88,2.38,3.25,2.53,3.37,2.69,1.29,3.5,1.02,13.0,1.17,4.5,1.62,2.2,1.5,2.5,1.41,1.26,1.6,1.07,0.71,1.46,1.31,2.77,1.82,8.5,2.32,0.0,0.0,1.28,3.2,1.51,2.32,1.87,1.83,2.38,1.49
England EFL League Two,2024-02-13,16:45:00,33,Crawley Town,Walsall,2.88,2.38,3.25,2.46,3.42,2.77,1.29,3.5,1.02,13.5,1.17,4.5,1.73,2.0,1.5,2.5,1.42,1.25,1.61,1.6,1.0,1.45,1.28,2.73,1.85,8.0,2.28,1.21,3.74,1.41,2.6,1.73,1.99,2.17,1.58,2.91,1.33
England EFL League Two,2024-02-13,16:45:00,33,Gillingham,Swindon Town,2.6,2.25,4.0,1.77,3.76,4.26,1.36,3.0,1.03,14.0,1.22,3.8,1.75,1.95,1.67,2.1,1.25,1.25,1.8,1.6,0.69,1.5,1.38,2.88,1.59,8.5,2.78,1.24,3.48,1.45,2.48,1.81,1.89,2.3,1.52,3.08,1.3
England EFL League Two,2024-02-13,16:45:00,33,Accrington Stanley,AFC Wimbledon,3.2,2.2,3.2,2.74,3.43,2.47,1.36,3.0,1.04,10.5,1.24,3.6,1.8,1.99,1.67,2.1,1.48,1.27,1.48,1.69,1.38,1.53,1.38,2.91,2.05,8.0,2.0,1.22,3.8,1.36,2.79,1.64,2.07,2.09,1.66,2.71,1.38
