League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Slovenia PrvaLiga,2024-02-26,11:00:00,23,Bravo,Koper,3.4,2.1,2.88,2.7,3.1,2.4,1.4,2.75,1.06,8.0,1.33,3.25,1.93,1.78,1.73,2.0,1.5,1.3,1.4,2.0,1.8,1.48,1.62,3.1,2.0,8.5,2.0,1.28,3.4,1.53,2.45,1.88,1.92,2.36,1.56,3.0,1.34
Egypt Egyptian Premier League,2024-02-26,11:00:00,14,El Gounah,Ismaily SC,3.4,2.0,3.25,2.7,3.0,2.7,1.46,2.6,1.04,7.6,1.36,2.79,2.16,1.65,1.91,1.8,1.46,1.31,1.41,1.0,0.33,1.44,1.66,3.1,2.15,8.5,1.87,1.26,3.34,1.52,2.44,2.38,1.88,2.48,1.51,3.28,1.27
Egypt Egyptian Premier League,2024-02-26,11:00:00,14,Masr,ENPPI,3.0,1.91,4.0,2.2,3.0,3.2,1.59,2.27,1.08,6.0,1.46,2.45,2.5,1.5,2.2,1.62,1.26,1.36,1.58,1.8,1.5,2.1,1.49,3.59,1.59,8.4,2.7,1.37,2.75,1.74,2.07,2.21,1.65,2.88,1.34,3.8,1.22
Bulgaria First League,2024-02-26,12:30:00,22,Beroe,Ludogorets,10.0,2.5,1.73,13.0,6.0,1.15,1.33,3.25,1.03,11.0,1.2,4.2,1.58,2.18,2.25,1.57,3.5,1.09,1.02,1.8,2.11,1.56,2.14,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-02-26,12:30:00,22,Mladost Lučani,Voždovac,0.0,0.0,0.0,2.25,3.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,1.67,0.0,0.0,0.0,0.0,0.0,1.5,0.6,1.2,1.23,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-02-26,14:00:00,27,Galatasaray,Antalyaspor,1.73,2.75,7.5,1.22,6.0,11.0,1.25,3.75,1.02,21.0,1.15,5.17,1.5,2.4,1.83,1.83,1.08,1.17,3.75,3.0,1.08,2.23,1.33,3.56,1.21,12.0,5.45,1.16,4.4,1.33,3.04,1.6,2.25,1.96,1.75,2.51,1.44
Egypt Egyptian Premier League,2024-02-26,14:00:00,14,Al Mokawloon,Al Masry,3.95,2.12,3.35,3.25,3.1,2.66,1.52,2.43,1.11,9.2,1.49,2.92,2.5,1.62,2.04,1.89,1.58,1.46,1.42,0.4,1.4,1.23,1.1,2.33,2.36,8.4,1.74,1.31,3.04,1.63,2.23,2.03,1.76,2.55,1.48,3.56,1.23
Italy Serie A,2024-02-26,14:30:00,26,Roma,Torino,2.63,2.0,5.0,1.9,3.25,4.2,1.5,2.5,1.11,8.6,1.47,2.75,2.35,1.57,2.1,1.67,1.24,1.28,1.88,2.08,1.08,1.36,1.16,2.52,1.57,8.8,2.9,1.49,2.52,1.88,1.92,2.39,1.54,3.14,1.29,4.5,1.15
Portugal LigaPro,2024-02-26,15:00:00,23,Paços de Ferreira,CD Feirense,2.38,2.05,4.6,1.8,3.3,4.0,1.4,2.75,1.08,7.0,1.33,3.25,2.08,1.67,1.85,1.85,1.15,1.3,2.0,1.55,0.45,1.67,1.22,2.89,1.46,9.9,3.12,1.12,5.0,1.26,3.34,1.52,2.49,1.9,1.9,2.32,1.58
Romania Liga I,2024-02-26,15:00:00,27,CS U Craiova,Voluntari,2.05,2.15,5.8,1.5,4.0,6.5,1.4,2.75,1.07,7.5,1.33,3.25,2.13,1.61,2.05,1.7,1.1,1.25,2.4,1.69,1.08,1.75,1.15,2.9,1.21,11.5,5.54,1.26,3.34,1.49,2.38,1.86,1.84,2.38,1.49,3.2,1.28
Denmark Superliga,2024-02-26,15:00:00,19,København,Nordsjælland,2.38,2.3,4.5,1.8,3.7,4.0,1.33,3.25,1.04,10.0,1.22,4.0,1.7,2.05,1.7,2.05,1.24,1.22,2.0,1.78,1.33,2.07,1.52,3.59,1.82,8.0,2.33,1.29,3.4,1.57,2.28,2.0,1.8,2.5,1.48,3.5,1.27
Poland Ekstraklasa,2024-02-26,15:00:00,22,Warta Poznań,Radomiak Radom,3.25,2.05,3.6,2.45,3.25,2.8,1.44,2.63,1.07,8.0,1.36,3.0,1.9,1.88,1.95,1.8,1.42,1.28,1.52,0.9,1.3,1.13,1.35,2.48,1.91,8.0,2.1,1.27,3.55,1.5,2.48,1.92,1.88,2.45,1.5,3.4,1.29
Netherlands Eerste Divisie,2024-02-26,16:00:00,27,Ajax II,Telstar,2.5,2.25,3.65,2.1,3.79,3.29,1.28,3.3,1.02,12.0,1.18,4.75,1.55,2.4,1.45,2.5,1.3,1.22,1.75,1.83,0.38,1.59,1.3,2.89,1.87,8.9,2.18,1.2,4.25,1.36,2.79,1.69,2.15,2.1,1.72,2.67,1.39
Netherlands Eerste Divisie,2024-02-26,16:00:00,27,AZ II,NAC Breda,3.6,2.25,2.75,3.17,3.67,2.19,1.33,3.25,1.05,13.5,1.25,4.6,1.7,2.05,1.62,2.2,1.83,1.34,1.37,2.0,1.38,1.52,1.44,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-02-26,16:00:00,27,PSV II,Dordrecht,2.7,2.45,2.95,2.36,3.89,2.74,1.2,4.0,1.02,15.0,1.11,6.25,1.35,3.1,1.28,3.2,1.45,1.22,1.55,1.0,1.17,1.52,1.45,2.97,1.76,9.2,2.33,1.15,4.7,1.28,3.2,1.54,2.42,1.88,1.92,2.36,1.57
Netherlands Eerste Divisie,2024-02-26,16:00:00,27,Utrecht II,Oss,2.45,2.15,4.0,1.88,3.68,4.13,1.36,2.9,1.05,9.5,1.25,3.75,1.88,1.94,1.67,2.05,1.25,1.22,1.85,1.42,0.38,1.3,1.17,2.47,1.53,9.1,2.92,1.24,3.48,1.51,2.5,1.87,1.93,2.36,1.57,3.14,1.29
Spain Segunda División,2024-02-26,16:30:00,28,Mirandés,SD Huesca,3.1,1.83,4.75,2.1,2.8,3.6,1.67,2.1,1.12,6.0,1.57,2.27,3.05,1.32,2.38,1.53,1.28,1.33,1.63,1.62,1.15,1.39,0.93,2.32,1.61,9.0,2.83,1.34,2.98,1.64,2.18,2.06,1.68,2.71,1.38,3.74,1.21
France Ligue 2,2024-02-26,16:45:00,26,Caen,Angers SCO,3.1,2.05,3.75,2.4,3.1,2.9,1.5,2.5,1.08,7.0,1.38,2.9,2.01,1.67,1.83,1.83,1.38,1.28,1.55,1.75,1.17,1.42,1.25,2.67,1.76,8.8,2.48,1.31,3.04,1.59,2.21,2.02,1.74,2.65,1.42,3.64,1.22
Italy Serie A,2024-02-26,16:45:00,26,Fiorentina,Lazio,3.0,2.05,4.0,2.3,3.1,3.1,1.5,2.5,1.09,9.0,1.37,2.95,2.18,1.65,1.91,1.91,1.28,1.37,1.62,1.92,1.46,1.58,1.19,2.77,1.61,8.9,2.82,1.38,2.71,1.71,2.04,2.22,1.63,2.98,1.35,4.15,1.17
England Premier League,2024-02-26,17:00:00,26,West Ham United,Brentford,3.0,2.25,3.25,2.4,3.5,2.7,1.33,3.25,1.06,14.0,1.22,4.3,1.72,2.0,1.62,2.2,1.47,1.32,1.58,1.58,0.83,1.22,1.29,2.51,1.65,10.5,2.65,1.2,4.5,1.33,3.1,1.6,2.28,1.97,1.83,2.48,1.5
Spain La Liga,2024-02-26,17:00:00,26,Girona FC,Rayo Vallecano,2.2,2.38,5.0,1.6,4.0,5.0,1.33,3.25,1.05,14.0,1.22,4.0,1.66,2.08,1.75,2.0,1.17,1.24,2.3,2.42,1.23,1.56,1.15,2.71,1.48,8.0,3.2,1.29,3.05,1.54,2.25,1.9,1.78,2.4,1.46,3.15,1.27
Portugal Liga NOS,2024-02-26,17:15:00,23,Boavista FC,Sporting Braga,0.0,0.0,0.0,4.6,3.9,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.71,2.01,0.0,0.0,0.0,0.0,0.0,1.18,2.0,1.03,1.39,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
