League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2024-04-09,12:30:00,28,Lokomotiv Sofia 1929,Beroe,3.0,2.0,4.0,2.25,3.0,3.5,1.51,2.4,1.06,6.75,1.42,2.75,2.3,1.57,1.95,1.8,1.28,1.28,1.55,0.86,0.71,1.33,1.21,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2024-04-09,13:45:00,30,Maribor,Mura,2.04,2.26,5.4,1.5,4.0,5.5,1.35,3.04,1.01,10.0,1.22,3.64,1.8,1.99,1.83,1.83,1.11,1.19,2.35,2.47,1.13,1.79,1.36,3.15,1.31,10.25,3.9,1.25,3.6,1.42,2.62,1.68,2.16,2.09,1.72,2.6,1.44
England EFL League Two,2024-04-09,15:45:00,14,Mansfield Town,Forest Green Rovers,1.95,2.4,6.0,1.4,4.1,7.5,1.3,3.4,1.02,15.0,1.22,4.2,1.5,2.4,1.83,1.83,1.1,1.16,2.75,1.9,0.95,1.95,1.16,3.11,1.19,11.0,6.09,1.21,3.95,1.4,2.7,1.72,2.0,2.2,1.58,3.0,1.34
England EFL League Two,2024-04-09,15:45:00,18,Doncaster Rovers,Walsall,2.85,2.15,3.35,2.5,3.4,2.5,1.36,2.9,1.05,10.0,1.29,3.8,1.95,1.9,1.62,2.1,1.4,1.25,1.57,1.81,1.05,1.35,1.3,2.65,1.75,9.1,2.36,1.22,3.8,1.38,2.8,1.61,2.26,2.0,1.8,2.54,1.5
England EFL League Two,2024-04-09,15:45:00,18,Morecambe,Crewe Alexandra,2.88,2.2,3.2,2.5,3.4,2.5,1.33,3.0,1.05,10.0,1.22,4.2,1.88,1.98,1.55,2.25,1.42,1.25,1.57,1.41,1.45,1.19,1.27,2.46,1.67,8.7,2.66,1.15,4.75,1.25,3.5,1.45,2.55,1.73,2.0,2.14,1.63
England EFL League Two,2024-04-09,15:45:00,27,Newport County,Accrington Stanley,3.21,2.33,3.25,2.5,3.4,2.5,1.36,2.84,1.01,11.0,1.23,3.99,1.81,2.02,1.57,2.25,1.44,1.25,1.44,1.57,1.1,1.32,1.26,2.58,1.83,9.2,2.22,1.2,4.0,1.33,3.0,1.57,2.32,1.94,1.85,2.44,1.52
England EFL League Two,2024-04-09,15:45:00,29,Harrogate Town,Grimsby Town,3.0,2.2,3.4,2.5,3.4,2.5,1.36,3.0,1.03,13.0,1.28,3.75,1.88,1.98,1.67,2.1,1.45,1.25,1.6,1.38,0.7,1.34,1.3,2.64,1.95,8.5,2.05,1.16,5.14,1.21,3.8,1.4,2.65,1.7,1.98,2.15,1.58
England EFL League Two,2024-04-09,15:45:00,30,Wrexham,Crawley Town,1.85,2.55,5.25,1.4,4.1,7.5,1.22,3.7,1.02,19.0,1.14,5.5,1.53,2.35,1.57,2.2,1.11,1.14,2.7,2.29,1.5,1.83,1.3,3.13,1.43,10.0,3.26,1.2,4.0,1.33,3.0,1.56,2.34,1.93,1.86,2.4,1.54
England EFL League Two,2024-04-09,15:45:00,35,Barrow,Bradford City,3.1,2.05,3.75,2.2,3.15,2.78,1.5,2.5,1.07,8.0,1.4,2.9,1.89,1.7,1.83,1.83,1.36,1.3,1.57,1.9,1.25,1.41,1.38,2.79,1.69,8.0,2.54,1.21,3.74,1.41,2.6,1.85,1.9,2.18,1.66,2.93,1.33
England EFL League Two,2024-04-09,15:45:00,36,Colchester United,Stockport County,5.0,2.38,2.2,3.9,3.6,1.8,1.3,3.4,1.03,13.0,1.22,4.33,1.73,1.98,1.62,2.2,2.25,1.2,1.17,1.05,1.86,1.5,1.47,2.97,2.53,8.5,1.69,1.22,3.8,1.32,3.1,1.55,2.3,1.99,1.73,2.6,1.44
England EFL League One,2024-04-09,15:45:00,29,Cheltenham Town,Carlisle United,3.0,1.95,4.33,1.62,3.8,5.5,1.53,2.38,1.09,7.5,1.5,2.6,2.03,1.83,2.1,1.67,1.3,1.3,1.68,1.1,0.68,1.4,1.1,2.5,2.05,8.5,2.05,1.26,3.4,1.49,2.35,2.0,1.8,2.45,1.44,3.5,1.25
England EFL League One,2024-04-09,15:45:00,40,Charlton Athletic,Wigan Athletic,2.75,2.15,4.0,1.91,3.5,4.0,1.36,2.95,1.04,11.0,1.25,3.75,1.93,1.93,1.68,2.15,1.3,1.25,1.78,1.41,1.0,1.49,0.98,2.47,1.59,9.5,2.78,1.25,3.6,1.42,2.62,1.68,2.17,2.09,1.73,2.6,1.44
England EFL League One,2024-04-09,15:45:00,40,Blackpool,Fleetwood Town,2.4,2.2,4.75,1.62,4.1,5.0,1.36,2.9,1.04,12.0,1.3,3.5,1.88,1.98,1.8,1.95,1.2,1.22,2.05,2.05,0.81,1.44,1.24,2.68,1.51,9.8,3.04,1.22,3.8,1.38,2.8,1.6,2.26,2.0,1.8,2.53,1.49
England Championship,2024-04-09,15:45:00,42,Sheffield Wednesday,Norwich City,3.45,2.05,2.88,3.2,3.3,2.3,1.38,2.8,1.06,8.5,1.3,3.45,1.9,1.95,1.67,2.1,1.6,1.28,1.36,1.29,1.0,1.27,1.18,2.45,1.98,9.3,2.08,1.21,4.44,1.4,2.97,1.67,2.2,2.06,1.76,2.66,1.48
Wales Welsh Premier League,2024-04-09,15:45:00,7,The New Saints,Bala Town,1.57,2.88,8.0,1.2,5.75,10.0,1.22,3.8,1.02,13.0,1.1,5.5,1.4,2.75,1.92,1.75,1.02,1.08,3.78,2.87,1.57,2.76,1.5,4.26,1.09,13.5,8.0,1.33,3.0,1.58,2.23,1.96,1.75,2.5,1.47,3.3,1.28
England EFL League One,2024-04-09,15:45:00,40,Bristol Rovers,Reading,3.2,2.15,3.3,2.7,3.4,2.5,1.37,2.85,1.05,12.0,1.3,3.5,1.74,1.97,1.72,2.1,1.47,1.25,1.53,1.29,0.81,1.34,1.2,2.54,1.9,9.4,2.17,1.17,5.02,1.27,3.28,1.55,2.41,1.89,1.91,2.36,1.56
England Championship,2024-04-09,15:45:00,42,Southampton,Coventry City,2.05,2.45,4.33,1.62,4.2,5.0,1.22,3.75,1.02,12.0,1.14,5.5,1.5,2.4,1.45,2.55,1.18,1.17,2.2,2.1,1.33,1.8,1.4,3.2,1.35,11.0,3.82,1.16,5.15,1.33,3.35,1.56,2.42,1.9,1.9,2.4,1.57
Wales Welsh Premier League,2024-04-09,15:45:00,5,Pontypridd Town AFC,Aberystwyth Town,2.5,2.25,3.75,2.1,3.25,3.0,1.33,3.0,1.04,10.0,1.22,4.0,2.1,1.67,1.62,2.2,1.27,1.24,1.65,1.07,1.0,1.28,1.05,2.33,1.58,8.9,2.68,1.25,3.6,1.4,2.64,1.7,1.98,2.15,1.59,2.85,1.37
England Championship,2024-04-09,15:45:00,42,Preston North End,Huddersfield Town,2.88,2.0,3.75,2.25,3.2,3.25,1.45,2.55,1.07,8.0,1.38,3.0,2.19,1.6,1.85,1.85,1.33,1.28,1.62,1.76,0.86,1.2,1.15,2.35,1.91,9.2,2.17,1.19,4.72,1.37,3.12,1.62,2.29,2.0,1.8,2.55,1.52
England Championship,2024-04-09,15:45:00,42,Plymouth Argyle,Queens Park Rangers,3.55,2.1,2.75,3.6,3.3,2.1,1.38,2.8,1.05,9.0,1.28,3.5,1.98,1.88,1.7,2.05,1.65,1.25,1.35,1.38,1.24,1.42,1.01,2.43,2.18,9.5,1.89,1.13,5.85,1.28,3.72,1.49,2.63,1.79,2.02,2.22,1.66
England Championship,2024-04-09,15:45:00,42,Millwall,Leicester City,4.75,2.15,2.2,5.0,3.75,1.67,1.38,2.8,1.05,9.5,1.28,3.55,1.93,1.93,1.8,1.9,2.1,1.22,1.17,1.24,2.0,1.38,1.38,2.76,2.77,9.3,1.6,1.28,3.69,1.51,2.56,1.82,1.98,2.33,1.61,3.12,1.36
England EFL League One,2024-04-09,15:45:00,40,Leyton Orient,Exeter City,2.6,2.15,4.33,1.73,3.8,4.5,1.39,2.8,1.05,11.0,1.33,3.25,1.95,1.75,1.85,1.9,1.25,1.25,1.9,1.45,1.24,1.36,1.12,2.48,1.52,9.9,2.99,1.18,4.84,1.29,3.14,1.57,2.33,1.94,1.85,2.45,1.52
England EFL League One,2024-04-09,15:45:00,29,Stevenage,Barnsley,2.88,2.1,3.75,2.38,3.4,2.88,1.4,2.75,1.05,11.0,1.33,3.3,2.0,1.85,1.75,2.0,1.35,1.25,1.7,1.67,2.0,1.46,1.39,2.85,1.54,9.3,3.05,1.29,3.4,1.53,2.4,2.0,1.8,2.55,1.48,3.5,1.27
England Championship,2024-04-09,16:00:00,42,Leeds United,Sunderland,1.75,2.55,6.5,1.3,5.0,11.0,1.25,3.5,1.03,11.0,1.17,5.0,1.55,2.3,1.85,1.85,1.07,1.11,3.25,2.52,1.0,1.74,1.53,3.27,1.27,11.25,4.6,1.25,3.98,1.46,2.72,1.76,2.06,2.2,1.67,2.92,1.41
