League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Croatia Prva HNL,2024-01-26,13:00:00,20,Varaždin,Slaven Koprivnica,2.6,2.05,3.9,1.88,3.23,3.34,1.39,2.8,1.06,8.0,1.3,3.4,1.84,1.76,1.75,1.95,1.25,1.22,1.66,1.44,0.9,1.37,1.24,2.61,1.84,8.4,2.31,1.38,2.71,1.7,2.03,2.15,1.59,2.93,1.33,3.8,1.22
Germany 2. Bundesliga,2024-01-26,14:30:00,19,Kaiserslautern,Schalke 04,3.13,2.36,3.38,2.32,3.39,2.57,1.35,3.36,1.02,10.0,1.2,4.0,1.61,2.32,1.56,2.36,1.46,1.29,1.56,1.44,0.78,1.54,1.35,2.89,1.95,8.5,2.1,1.15,5.3,1.26,3.4,1.47,2.4,1.82,1.82,2.37,1.49
Germany 2. Bundesliga,2024-01-26,14:30:00,19,Hannover 96,Nürnberg,2.4,2.25,4.1,1.94,3.38,3.29,1.32,3.1,1.04,14.5,1.23,4.2,1.66,2.22,1.62,2.15,1.27,1.28,1.88,1.88,1.44,1.74,1.41,3.15,1.75,8.5,2.41,1.2,4.4,1.28,3.25,1.5,2.3,1.87,1.78,2.45,1.46
Romania Liga I,2024-01-26,15:00:00,23,SSC Farul,U Craiova 1948,2.6,2.1,4.3,1.99,3.15,3.9,1.33,3.0,1.03,10.5,1.25,3.85,2.0,1.72,1.6,2.25,1.24,1.35,1.79,1.55,1.0,1.89,1.35,3.24,1.59,8.5,2.89,1.23,3.56,1.48,2.59,1.93,1.88,2.29,1.6,3.04,1.31
Switzerland Challenge League,2024-01-26,15:30:00,19,Aarau,Vaduz,2.5,2.4,3.4,2.09,3.7,2.95,1.25,3.75,1.02,12.0,1.14,5.0,1.45,2.55,1.44,2.63,1.33,1.25,1.75,1.33,0.89,1.57,1.61,3.18,1.56,9.6,2.68,0.0,0.0,1.21,3.74,1.39,2.67,1.71,2.09,2.11,1.69
Switzerland Challenge League,2024-01-26,15:30:00,19,Stade Nyonnais,FC Schaffhausen,2.2,2.38,4.33,1.85,3.65,3.6,1.29,3.5,1.03,11.0,1.17,4.5,1.61,2.23,1.62,2.2,1.25,1.25,1.85,1.89,0.38,1.44,1.1,2.54,1.41,9.9,3.25,0.0,0.0,1.25,3.42,1.5,2.5,1.84,1.96,2.28,1.59
Switzerland Challenge League,2024-01-26,15:30:00,19,Wil,Sion,4.0,2.2,2.5,3.7,3.4,1.91,1.36,3.0,1.06,8.0,1.25,3.75,1.86,1.88,1.8,1.91,1.83,1.29,1.22,1.38,2.11,1.64,1.59,3.23,2.52,8.6,1.69,1.28,3.2,1.58,2.32,1.96,1.83,2.48,1.52,3.34,1.26
Netherlands Eerste Divisie,2024-01-26,16:00:00,23,De Graafschap,VVV,2.38,2.38,4.33,1.83,3.8,4.0,1.3,3.2,1.02,10.0,1.18,4.33,1.6,2.3,1.57,2.25,1.25,1.25,1.95,1.8,1.3,1.71,1.38,3.09,1.54,9.8,2.82,1.14,5.0,1.25,3.42,1.51,2.5,1.83,1.98,2.25,1.62
Netherlands Eerste Divisie,2024-01-26,16:00:00,23,ADO Den Haag,Emmen,2.5,2.3,4.0,1.95,3.6,3.8,1.3,3.2,1.02,10.0,1.2,4.0,1.7,2.1,1.57,2.25,1.3,1.3,1.78,1.8,1.45,1.61,1.56,3.17,1.62,9.5,2.62,1.16,4.6,1.28,3.2,1.58,2.36,1.92,1.88,2.4,1.56
Netherlands Eredivisie,2024-01-26,16:00:00,19,PEC Zwolle,Vitesse,2.6,2.3,4.0,1.87,3.57,3.98,1.33,3.25,1.02,10.0,1.22,3.8,1.69,2.18,1.67,2.1,1.3,1.29,1.83,0.89,0.67,1.49,1.14,2.63,1.75,7.5,2.43,1.29,3.05,1.54,2.25,1.91,1.78,2.45,1.45,3.25,1.26
