League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Egypt Egyptian Premier League,2024-03-05,11:00:00,15,El Geish,El Daklyeh FC,2.6,1.83,5.5,1.75,3.0,4.75,1.6,2.2,1.08,6.2,1.55,2.3,2.75,1.4,2.5,1.5,1.14,1.35,1.7,1.57,0.29,1.53,0.94,2.47,1.51,7.7,3.35,1.45,2.65,1.79,2.01,2.27,1.6,3.2,1.3,4.0,1.21
Egypt Egyptian Premier League,2024-03-05,14:00:00,15,Al Masry,Smouha SC,2.75,1.95,4.33,2.05,3.0,4.0,1.42,2.62,1.06,8.0,1.33,3.1,2.38,1.53,2.1,1.67,1.18,1.25,1.85,2.29,1.0,1.36,1.36,2.72,1.63,8.6,2.58,1.24,3.65,1.58,2.3,2.38,1.79,2.59,1.47,3.2,1.3
Portugal LigaPro,2024-03-05,15:00:00,24,CS Marítimo,CF Os Belenenses,1.91,2.38,7.5,1.36,4.5,8.5,1.36,3.0,1.04,9.0,1.25,3.6,1.83,1.9,2.2,1.62,1.06,1.18,2.91,1.58,0.5,1.58,1.24,2.82,1.34,9.5,4.07,1.18,4.1,1.36,2.79,1.63,2.09,2.06,1.68,2.67,1.39
England EFL League Two,2024-03-05,16:45:00,21,Barrow,Gillingham,2.63,2.1,4.33,2.2,3.2,3.4,1.44,2.63,1.07,7.5,1.36,3.0,2.3,1.57,1.83,1.83,1.28,1.25,1.8,1.8,1.47,1.38,1.26,2.64,1.75,8.0,2.52,1.29,3.3,1.56,2.27,1.99,1.73,2.62,1.43,3.2,1.3
England EFL League Two,2024-03-05,16:45:00,21,Mansfield Town,Milton Keynes Dons,2.63,2.3,3.75,1.75,3.8,4.4,1.33,3.25,1.04,10.0,1.22,4.0,1.67,2.1,1.62,2.2,1.33,1.22,1.78,2.06,1.24,1.94,1.36,3.3,1.59,8.5,2.89,1.2,3.9,1.39,2.65,1.7,1.98,2.2,1.57,2.95,1.32
England EFL League Two,2024-03-05,16:45:00,27,AFC Wimbledon,Grimsby Town,2.39,2.35,4.81,1.85,3.6,4.1,1.36,3.2,1.02,10.0,1.26,3.87,1.83,1.9,1.73,2.0,1.17,1.22,2.0,1.65,0.73,1.6,1.31,2.91,1.51,9.0,3.06,1.13,5.0,1.27,3.4,1.48,2.47,1.92,1.88,2.35,1.52
England EFL League Two,2024-03-05,16:45:00,29,Bradford City,Doncaster Rovers,2.4,2.2,4.5,1.83,3.6,4.2,1.4,2.75,1.05,11.0,1.3,3.4,1.95,1.78,1.8,1.91,1.22,1.22,2.0,1.56,0.76,1.45,1.17,2.62,1.75,8.5,2.43,1.17,4.4,1.31,3.0,1.55,2.2,1.95,1.7,2.6,1.41
England EFL League One,2024-03-05,16:45:00,13,Barnsley,Bolton Wanderers,3.1,2.2,3.25,2.3,3.5,2.88,1.36,3.0,1.04,12.0,1.24,3.5,1.78,1.95,1.67,2.1,1.4,1.3,1.53,1.76,1.76,1.46,1.35,2.81,1.95,8.0,2.1,1.16,4.6,1.31,3.1,1.53,2.34,1.86,1.84,2.32,1.54
England EFL League One,2024-03-05,16:45:00,27,Peterborough United,Northampton Town,1.91,2.5,6.5,1.36,5.0,7.5,1.29,3.5,1.02,12.0,1.14,4.55,1.53,2.38,1.75,2.0,1.09,1.17,2.95,1.94,1.18,1.68,1.06,2.74,1.23,10.0,5.15,1.19,4.2,1.36,2.9,1.82,1.98,1.97,1.75,2.48,1.48
England Championship,2024-03-05,16:45:00,36,Blackburn Rovers,Millwall,2.8,2.2,3.75,2.25,3.3,3.25,1.38,2.8,1.03,9.0,1.29,3.4,2.15,1.65,1.72,2.1,1.33,1.25,1.75,1.24,1.18,1.56,0.96,2.52,1.75,8.0,2.52,1.19,4.3,1.37,2.9,1.62,2.2,2.0,1.75,2.55,1.48
England EFL League Two,2024-03-05,16:45:00,13,Morecambe,Crawley Town,2.76,2.23,3.65,2.2,3.6,3.1,1.33,3.0,1.05,10.0,1.25,4.0,1.7,2.05,1.63,2.22,1.37,1.29,1.65,1.56,1.31,1.25,1.25,2.5,1.82,8.0,2.33,1.17,4.5,1.36,2.9,1.67,2.07,2.1,1.65,2.77,1.39
England Championship,2024-03-05,16:45:00,36,Coventry City,Rotherham United,1.78,2.5,7.0,1.29,5.5,10.0,1.28,3.4,1.03,18.25,1.2,4.65,1.62,2.2,1.9,1.8,1.05,1.12,3.4,1.71,0.24,1.42,0.93,2.35,1.11,13.0,8.15,1.12,5.8,1.24,3.8,1.42,2.7,1.69,2.1,2.1,1.69
England Championship,2024-03-05,16:45:00,36,Hull City,Birmingham City,2.5,2.2,4.5,1.73,3.9,4.5,1.38,2.8,1.03,9.0,1.29,3.4,1.67,2.1,1.78,2.0,1.22,1.24,2.0,1.53,0.65,1.56,1.33,2.89,1.45,8.5,3.2,1.21,4.2,1.39,2.85,1.65,2.16,2.05,1.72,2.6,1.46
England Championship,2024-03-05,16:45:00,36,Leeds United,Stoke City,1.79,2.76,7.89,1.33,5.25,9.0,1.29,3.3,1.02,10.0,1.18,4.33,1.53,2.38,1.91,1.8,1.08,1.17,3.2,2.53,0.94,1.78,1.2,2.98,1.26,10.0,4.64,1.2,4.2,1.38,2.9,1.63,2.2,2.02,1.74,2.55,1.47
England Championship,2024-03-05,16:45:00,36,Sunderland,Leicester City,4.95,2.44,2.31,4.33,3.8,1.75,1.33,3.0,1.02,10.0,1.22,3.8,1.78,1.95,1.68,2.05,2.0,1.26,1.23,1.76,2.24,1.5,1.39,2.89,2.1,8.0,1.91,1.21,4.1,1.4,2.8,1.67,2.13,2.08,1.7,2.65,1.45
