IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215182692,Ukrainian Premier League,2023-06-14,09:00:00,LNZ-Lebedyn,Inhulets Petrove,2.38,2.96,3.1,2.38,1.59,1.95,1.84,11.0,12.0,25.0,75.0,9.8,8.4,17.5,55.0,17.5,14.5,26.0,85.0,44.0,40.0,70.0,190.0,40.0,65.0
1.215213406,Brazilian Serie D,2023-06-14,15:00:00,Nova Iguacu,Vitoria ES,1.99,2.96,3.85,2.28,1.57,1.96,1.77,10.5,14.0,32.0,1.01,8.0,8.2,20.0,1.01,13.5,12.0,25.0,1.01,32.0,32.0,1.01,1.01,26.0,1.01
1.215197152,Brazilian Serie D,2023-06-14,15:30:00,Fluminense-PI,FC Atletico Cearense,2.18,2.92,2.96,2.08,1.62,1.84,1.87,12.0,13.5,26.0,1.01,10.0,8.6,17.5,55.0,17.0,14.0,24.0,75.0,40.0,36.0,1.01,1.01,30.0,55.0
1.215196972,Brazilian Serie D,2023-06-14,15:30:00,Ipora EC,Brasiliense,2.14,2.96,3.25,2.1,1.59,1.94,1.92,11.5,14.0,28.0,1.01,10.0,8.4,19.0,60.0,14.5,12.0,24.0,1.01,38.0,30.0,55.0,1.01,32.0,1.01
1.215213316,Brazilian Serie D,2023-06-14,16:00:00,Interporto,Anapolis GO,7.4,5.8,1.21,1.42,3.0,1.92,2.08,40.0,14.0,11.0,11.5,55.0,23.0,15.0,17.5,1.01,1.01,42.0,42.0,1.01,1.01,1.01,1.01,1.01,3.7
1.215197062,Brazilian Serie D,2023-06-14,16:00:00,Uniao EC Rondonopolis,Real Ariquemes,1.2,5.5,15.0,1.66,2.24,2.52,1.43,22.0,55.0,1.01,1.01,9.2,17.5,1.01,1.01,7.4,16.5,65.0,1.01,8.8,21.0,1.01,1.01,5.5,1.01
1.215196882,Brazilian Serie D,2023-06-14,18:00:00,Cordino EC,Tocantinopolis,2.34,2.88,3.05,2.24,1.6,1.88,1.83,11.0,12.0,24.0,1.01,9.6,7.8,16.5,1.01,16.5,13.5,23.0,1.01,40.0,36.0,1.01,1.01,36.0,1.01
1.215200175,Brazilian Serie D,2023-06-14,19:00:00,Athletic Club,Resende,1.79,3.05,4.1,2.06,1.6,1.88,1.73,11.5,17.5,44.0,1.01,8.6,9.0,23.0,1.01,12.5,13.0,27.0,1.01,26.0,27.0,60.0,1.01,20.0,1.01
1.215213947,Brazilian Serie D,2023-06-14,19:00:00,Aimore,Concordia CA,2.2,2.38,3.2,1.49,1.42,2.0,1.64,9.4,1.01,1.01,1.01,8.6,7.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215213225,Brazilian Serie D,2023-06-14,19:00:00,Real Noroeste,Santo Andre,3.3,2.78,2.08,2.26,1.51,1.91,1.72,11.0,9.0,15.5,36.0,13.0,8.2,13.5,36.0,29.0,19.5,27.0,1.01,1.01,70.0,1.01,1.01,1.01,34.0
1.215213496,Brazilian Serie D,2023-06-14,19:00:00,Camboriu,SER Caxias do Sul,2.32,2.7,3.3,2.58,1.46,2.04,1.71,8.8,11.0,26.0,1.01,9.0,7.4,18.0,1.01,19.0,14.0,26.0,1.01,1.01,42.0,1.01,1.01,1.01,1.01
1.215213857,Brazilian Serie D,2023-06-14,19:00:00,Bahia De Feira BA,Cruzeiro de Arapiraca,1.61,3.6,5.2,1.99,1.74,1.97,1.76,14.5,19.5,1.01,1.01,8.0,9.8,26.0,1.01,10.5,11.0,28.0,1.01,18.0,22.0,1.01,1.01,13.5,1.01
1.215214128,Brazilian Serie D,2023-06-14,19:00:00,Ferroviaria,Cascavel PR,1.54,2.96,6.2,2.28,1.51,2.28,1.52,44.0,21.0,1.01,1.01,55.0,10.5,36.0,1.01,8.8,12.5,38.0,1.01,18.5,25.0,1.01,1.01,17.0,1.01
1.215214037,Brazilian Serie D,2023-06-14,19:00:00,Hercilio Luz,Brasil de Pelotas,2.1,2.88,3.85,2.52,1.48,2.12,1.66,9.0,12.5,32.0,1.01,7.6,8.2,21.0,1.01,13.0,13.0,29.0,1.01,32.0,34.0,1.01,1.01,32.0,1.01
1.215214218,Brazilian Serie D,2023-06-14,20:00:00,Asa AL,Retro FC Brasil,2.72,1.03,2.4,2.04,1.61,1.78,1.81,1.01,11.5,1.01,1.01,1.01,8.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215214489,Brazilian Serie D,2023-06-14,20:00:00,Sao Francisco AC,Nacional AM,13.5,6.8,1.16,1.43,2.5,2.14,1.6,38.0,11.5,9.4,10.0,1.01,23.0,14.0,17.0,1.01,1.01,55.0,50.0,1.01,1.01,1.01,1.01,1.01,3.9
1.215214983,Brazilian Serie D,2023-06-14,20:00:00,Ferroviario,Maranhao,1.62,3.25,4.9,1.98,1.66,1.91,1.71,14.0,20.0,55.0,1.01,8.4,9.8,27.0,1.01,11.0,12.0,29.0,1.01,21.0,23.0,55.0,1.01,15.5,1.01
1.215213676,Brazilian Serie D,2023-06-14,20:00:00,Novo Hamburgo,Independente FSJ,2.98,2.8,2.38,2.44,1.49,2.02,1.7,9.4,9.0,16.5,44.0,10.5,8.0,14.5,42.0,23.0,17.0,27.0,1.01,1.01,60.0,1.01,1.01,1.01,44.0
