IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215837553,US United Soccer League,2023-07-12,20:30:00,Detroit City FC,Loudoun United FC,1.78,3.6,4.9,2.02,1.74,1.96,1.84,14.0,18.5,44.0,1.01,8.0,9.4,24.0,1.01,11.5,11.0,26.0,1.01,20.0,23.0,48.0,1.01,15.0,1.01
1.215837182,US Major League Soccer,2023-07-12,20:30:00,New England,Atlanta Utd,1.96,4.1,3.9,1.6,2.44,1.59,2.5,21.0,21.0,32.0,75.0,13.0,9.4,17.5,40.0,14.5,10.5,16.0,44.0,24.0,18.5,28.0,65.0,9.6,29.0
1.215837462,US United Soccer League,2023-07-12,21:00:00,Louisville FC,Pittsburgh Riverhounds,2.04,3.15,3.75,2.18,1.68,1.92,1.91,12.5,15.0,32.0,95.0,9.2,8.6,20.0,70.0,14.0,12.5,25.0,90.0,29.0,30.0,60.0,1.01,23.0,85.0
1.215761682,CONMEBOL Copa Sudamericana,2023-07-12,21:00:00,Sporting Cristal,Emelec,2.36,3.5,3.05,2.06,1.9,1.73,2.04,15.5,14.0,24.0,60.0,12.0,8.6,15.0,40.0,17.0,12.5,20.0,55.0,36.0,28.0,44.0,110.0,22.0,36.0
1.215761358,CONMEBOL Copa Sudamericana,2023-07-12,21:00:00,Ind Medellin,San Lorenzo,2.58,3.1,3.15,2.7,1.51,2.1,1.74,8.8,9.4,21.0,65.0,8.6,7.6,15.5,55.0,1.01,14.5,25.0,85.0,44.0,42.0,75.0,1.01,46.0,70.0
1.215825148,US Major League Soccer,2023-07-12,21:30:00,Kansas City,Real Salt Lake,1.98,3.9,4.0,1.7,2.24,1.67,2.34,19.0,19.5,32.0,80.0,11.5,10.0,19.0,44.0,13.5,11.5,17.0,48.0,23.0,18.5,30.0,75.0,11.0,36.0
1.215825508,US Major League Soccer,2023-07-12,21:30:00,Chicago Fire,CF Montreal,1.8,4.0,5.0,1.82,2.08,1.78,2.2,19.0,19.5,38.0,120.0,10.0,8.8,19.5,60.0,11.5,10.5,19.0,65.0,18.5,18.0,34.0,100.0,10.5,65.0
1.215825268,US Major League Soccer,2023-07-12,21:30:00,Houston Dynamo,Minnesota Utd,1.97,3.85,4.0,1.75,2.18,1.7,2.28,18.5,18.5,30.0,75.0,15.0,9.6,17.5,46.0,14.0,11.5,18.0,50.0,24.0,21.0,34.0,80.0,12.0,40.0
1.215846906,Brazilian Cup,2023-07-12,21:30:00,Athletico-PR,Flamengo,2.72,3.3,2.8,2.04,1.81,1.82,2.0,12.5,11.5,19.0,46.0,11.0,8.2,13.5,36.0,18.5,13.0,20.0,50.0,44.0,34.0,50.0,120.0,32.0,32.0
1.216001729,Canadian Premier League,2023-07-12,21:30:00,Cavalry,Atletico Ottawa,1.94,1.01,3.9,1.53,1.33,1.01,1.01,1.01,1.01,1.01,1.01,1.01,7.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215825028,US Major League Soccer,2023-07-12,21:30:00,Nashville SC,Philadelphia,2.14,3.5,3.95,1.97,1.93,1.81,2.1,13.0,15.5,28.0,80.0,9.8,7.8,16.5,48.0,13.0,10.5,17.5,60.0,26.0,23.0,38.0,100.0,16.5,50.0
1.215837281,US United Soccer League,2023-07-12,22:00:00,Tulsa Roughnecks FC,Miami FC,2.16,3.55,3.05,1.82,1.92,1.69,2.18,16.0,15.5,1.01,1.01,12.0,9.2,1.01,1.01,16.5,12.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215837371,US United Soccer League,2023-07-12,22:00:00,El Paso Locomotive FC,San Antonio FC,2.48,3.65,2.44,1.74,1.96,1.68,2.14,19.0,13.0,19.0,40.0,15.0,10.5,13.0,29.0,22.0,13.5,21.0,40.0,44.0,34.0,48.0,100.0,25.0,23.0
1.215824788,US Major League Soccer,2023-07-12,23:30:00,Vancouver Whitecaps,Austin FC,1.77,4.3,4.6,1.55,2.6,1.6,2.5,24.0,25.0,40.0,100.0,13.5,11.5,18.0,48.0,13.5,11.5,16.5,48.0,20.0,16.5,26.0,70.0,7.8,36.0
1.215921463,US Major League Soccer,2023-07-12,23:30:00,Los Angeles FC,St Louis City SC,1.59,4.6,6.2,1.55,2.62,1.66,2.34,24.0,30.0,55.0,170.0,12.0,11.0,23.0,70.0,11.5,10.0,18.5,65.0,16.0,14.5,26.0,80.0,6.4,60.0
1.215824908,US Major League Soccer,2023-07-12,23:30:00,San Jose Earthquakes,Seattle Sounders,2.78,3.45,2.78,1.94,1.96,1.76,2.18,14.5,12.5,19.0,42.0,12.5,8.4,13.5,32.0,19.5,13.5,18.5,44.0,44.0,32.0,46.0,100.0,26.0,26.0
