Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
0z1woFVr,08/12/2023,00:00,MEXICO - LIGA MX,U.N.A.M.- Pumas,U.A.N.L.- Tigres,APERTURA ,2.5,3.2,3.0,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.95,1.8,2.38,1.55,1.4,2.85,8.0,8.0,13.0,29.0,7.0,6.0,11.0,26.0,11.0,10.0,15.0,41.0,23.0,21.0,34.0,51.0,351.0
xKluhGGF,08/12/2023,05:00,INDONESIA - LIGA 1,Dewa United,Bali United,ROUND 22,3.45,3.3,2.02,1.31,3.15,1.01,11.6,1.23,3.35,1.7,1.93,2.6,1.38,3.7,1.19,1.57,2.1,,,1.75,1.98,11.25,8.5,10.5,19.0,12.0,6.6,8.25,15.0,21.0,11.5,12.0,22.0,50.0,28.0,30.0,50.0,300.0
YP0sFicH,08/12/2023,05:45,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Western United,ROUND 7,1.85,4.2,3.6,1.25,3.75,1.03,17.0,1.17,5.0,1.5,2.5,2.3,1.62,4.0,1.25,1.5,2.5,1.91,1.99,1.3,3.45,19.0,15.0,21.0,41.0,11.0,8.5,12.0,23.0,11.0,8.5,13.0,26.0,17.0,13.0,19.0,34.0,101.0
fkfcW7dN,08/12/2023,07:00,VIETNAM - V.LEAGUE 1,Gia Lai,Viettel,ROUND 5,3.4,3.05,2.12,1.55,2.15,1.07,6.25,1.5,2.27,2.4,1.45,4.15,1.15,9.8,1.01,2.07,1.6,,,1.78,1.93,6.6,5.6,8.75,19.5,7.6,6.1,9.5,21.0,16.0,13.0,19.5,45.0,50.0,40.0,60.0,120.0,201.0
tj4kDVRT,08/12/2023,07:45,AUSTRALIA - A-LEAGUE,Perth Glory,Melbourne City,ROUND 7,3.6,4.0,1.91,1.3,3.4,1.03,15.0,1.2,4.5,1.6,2.3,2.5,1.53,4.5,1.2,1.57,2.25,3.45,1.3,1.97,1.93,17.0,10.0,11.0,17.0,13.0,8.0,8.5,13.0,21.0,12.0,13.0,21.0,41.0,26.0,29.0,41.0,126.0
rJttzEiE,08/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Sanat Naft,Aluminium Arak,ROUND 12,2.85,2.72,2.75,1.72,2.05,1.15,4.65,1.7,2.12,2.92,1.35,5.4,1.12,9.0,1.03,2.3,1.55,,,,,4.65,5.9,11.75,35.0,5.8,5.7,11.25,32.0,12.0,12.0,21.0,60.0,37.0,35.0,65.0,175.0,
tlkxKLEt,08/12/2023,08:30,IRAQ - SUPER LEAGUE,Al Karkh,Karbala,ROUND 8,1.75,3.35,4.1,1.44,2.32,1.04,8.2,1.35,2.84,2.05,1.62,3.74,1.21,7.0,1.07,1.95,1.81,1.7,1.91,,,8.25,8.5,17.0,50.0,5.2,5.8,11.75,35.0,6.4,7.2,14.5,40.0,11.25,12.5,25.0,70.0,
23woIaqg,08/12/2023,08:30,IRAQ - SUPER LEAGUE,Al Naft,Baghdad,ROUND 8,1.62,3.5,4.8,1.42,2.35,1.04,8.3,1.33,2.93,2.0,1.65,3.64,1.22,6.8,1.07,2.03,1.75,,,,,8.5,9.5,21.0,65.0,5.0,6.1,13.5,40.0,5.9,7.1,15.5,50.0,9.75,11.5,25.0,75.0,
M9upZX6K,08/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Malavan,Shams Azar Qazvin,ROUND 12,2.82,2.7,2.82,1.72,2.05,1.16,4.65,1.65,2.15,2.92,1.36,5.4,1.12,9.0,1.03,2.3,1.55,2.45,1.52,,,4.65,5.8,12.0,37.0,6.0,5.6,11.75,35.0,12.0,11.5,20.0,65.0,35.0,32.0,60.0,150.0,
4YUlYiMQ,08/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Paykan,Zob Ahan,ROUND 12,3.55,2.67,2.35,1.8,1.95,1.18,4.3,1.78,1.95,3.25,1.3,6.1,1.09,9.75,1.03,2.55,1.45,,,1.57,2.3,4.3,4.9,9.25,25.0,6.3,5.9,11.0,29.0,16.0,15.0,25.0,65.0,60.0,55.0,100.0,250.0,
bZxljfoS,08/12/2023,09:00,INDONESIA - LIGA 1,PSS Sleman,RANS Nusantara,ROUND 22,2.12,3.2,3.3,1.42,2.47,1.02,8.9,1.3,2.92,1.93,1.75,3.05,1.28,6.15,1.08,1.7,1.91,,,,,9.25,10.25,18.0,45.0,7.2,6.2,11.25,29.0,10.0,8.75,13.5,35.0,20.0,17.5,28.0,65.0,500.0
KrvpizWL,08/12/2023,09:00,INDONESIA - LIGA 1,PSM Makassar,FC Bhayangkara,ROUND 22,1.85,3.65,3.6,1.31,3.15,1.01,11.1,1.22,3.45,1.65,1.98,2.55,1.4,4.8,1.13,1.62,2.05,1.82,1.88,,,12.5,12.5,21.0,50.0,8.5,7.2,12.5,30.0,9.75,8.25,13.5,35.0,16.0,14.0,22.0,55.0,350.0
IBmSJwco,08/12/2023,09:00,HONG KONG - PREMIER LEAGUE,Kitchee,Resources Capital,ROUND 10,1.03,11.25,29.0,1.09,6.1,,,1.01,11.5,1.14,5.0,1.39,2.57,1.88,1.8,2.55,1.39,,,,,35.0,150.0,700.0,201.0,18.0,40.0,175.0,900.0,9.0,21.0,90.0,600.0,6.7,15.0,65.0,400.0,1000.0
fNcVDYw1,08/12/2023,09:45,UNITED ARAB EMIRATES - UAE LEAGUE,Al Jazira,Ajman,ROUND 10,1.28,5.7,8.25,1.22,3.7,1.03,9.5,1.11,5.5,1.37,2.87,1.91,1.82,2.92,1.35,1.72,2.02,1.62,2.22,,,10.25,30.0,65.0,200.0,10.75,12.0,26.0,80.0,8.25,9.25,19.5,60.0,8.75,10.0,21.0,65.0,400.0
SUUeUgOs,08/12/2023,09:45,UNITED ARAB EMIRATES - UAE LEAGUE,Al Bataeh,Bani Yas,ROUND 10,2.52,3.45,2.52,1.34,2.92,1.04,8.25,1.22,3.9,1.65,2.15,2.55,1.45,4.3,1.18,1.55,2.3,,,,,8.25,10.5,14.0,28.0,11.0,6.9,9.5,19.0,15.0,9.5,11.75,24.0,29.0,18.5,23.0,40.0,250.0
EFvGzUrJ,08/12/2023,10:00,UKRAINE - PREMIER LEAGUE,Zhytomyr,Dnipro-1,ROUND 17,2.62,3.1,2.57,1.42,2.45,1.14,4.3,1.32,2.87,1.93,1.7,3.1,1.27,8.0,1.07,1.7,1.91,,,,,5.8,8.25,13.0,29.0,8.25,6.0,9.75,22.0,13.0,9.75,13.5,32.0,30.0,22.0,32.0,65.0,500.0
KMzua3NI,08/12/2023,10:00,ITALY - SERIE C,Legnago Salus,Novara,GROUP A ,2.37,3.0,3.05,1.57,2.3,1.11,5.7,1.47,2.5,2.4,1.5,4.3,1.18,7.4,1.06,2.02,1.7,2.32,1.57,,,5.7,7.4,14.5,40.0,6.2,5.9,11.5,32.0,10.25,9.75,17.0,50.0,24.0,23.0,40.0,110.0,900.0
WdvqbNxP,08/12/2023,10:00,ITALY - SERIE C,Lumezzane,Pro Sesto,GROUP A ,2.07,3.1,3.6,1.57,2.3,1.1,5.7,1.47,2.5,2.4,1.5,4.3,1.18,7.5,1.06,2.1,1.65,2.05,1.72,,,5.7,8.0,17.0,55.0,5.7,6.1,13.0,40.0,8.75,9.25,18.5,60.0,18.5,20.0,40.0,120.0,201.0
ry81G4hg,08/12/2023,10:00,ITALY - SERIE C,Renate,AlbinoLeffe,GROUP A ,2.1,3.05,3.65,1.57,2.32,1.1,5.8,1.45,2.55,2.32,1.53,4.15,1.19,7.2,1.06,2.0,1.72,2.05,1.72,,,5.8,8.75,18.0,55.0,5.8,5.9,12.5,37.0,8.75,9.0,17.0,50.0,19.5,20.0,37.0,100.0,900.0
4p9cHpwm,08/12/2023,10:00,ITALY - SERIE C,Pro Vercelli,Trento,GROUP A ,2.22,3.05,3.3,1.55,2.35,1.1,5.9,1.44,2.6,2.32,1.57,4.05,1.2,7.0,1.07,1.98,1.75,2.15,1.65,,,5.9,8.25,16.0,45.0,6.2,5.9,11.75,35.0,9.75,9.25,16.5,45.0,22.0,21.0,37.0,100.0,900.0
vRNi4CpO,08/12/2023,10:00,UGANDA - PREMIER LEAGUE,Express,Villa,ROUND 6,2.85,2.87,2.45,1.55,2.07,1.08,6.1,1.5,2.25,2.54,1.43,5.05,1.12,9.1,1.03,2.11,1.69,,,,,6.2,5.3,8.75,21.0,5.7,5.0,8.5,19.5,10.5,9.5,14.5,35.0,27.0,24.0,40.0,80.0,
