Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
WYBpqWBc,28/12/2023,05:45,AUSTRALIA - A-LEAGUE,Melbourne City,Brisbane Roar,ROUND 10,1.7,4.2,4.5,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.4,2.3,1.62,4.0,1.25,1.53,2.38,1.65,2.2,1.2,4.4,17.0,19.0,26.0,51.0,10.0,8.0,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,34.0,126.0
SbpqyUFI,28/12/2023,08:00,THAILAND - THAI LEAGUE 1,Prachuap,Buriram,ROUND 10,4.45,3.8,1.7,1.36,2.92,1.04,8.25,1.23,3.7,1.72,2.05,2.67,1.42,4.55,1.16,1.7,2.02,,,2.15,1.65,8.25,7.8,8.5,13.5,14.5,7.4,8.0,12.5,27.0,14.5,14.5,23.0,75.0,40.0,40.0,60.0,400.0
KzC6ZDtn,28/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Gol Gohar,Sepahan,ROUND 6,2.25,3.15,3.15,1.52,2.42,1.09,6.2,1.42,2.67,2.25,1.6,3.9,1.21,6.8,1.07,1.93,1.78,2.2,1.62,1.87,1.88,6.2,8.0,15.0,40.0,6.5,6.1,11.25,30.0,9.75,9.25,16.5,45.0,22.0,21.0,37.0,90.0,900.0
hxxVbX7P,28/12/2023,09:00,THAILAND - THAI LEAGUE 1,Pathum United,Chiangrai Utd,ROUND 10,1.5,4.15,5.7,1.36,2.9,1.05,8.0,1.24,3.6,1.75,2.02,2.75,1.4,4.7,1.15,1.85,1.85,,,,,8.0,15.5,35.0,110.0,7.1,8.0,18.0,60.0,7.2,8.25,17.5,55.0,10.5,12.0,26.0,80.0,600.0
bogUNJu2,28/12/2023,09:00,THAILAND - THAI LEAGUE 1,Chonburi,Bangkok Utd,ROUND 8,4.0,3.65,1.8,1.36,2.92,1.05,8.0,1.23,3.75,1.7,2.07,2.65,1.42,4.45,1.17,1.65,2.12,,,1.98,1.78,8.0,8.25,9.5,15.5,13.0,7.1,8.0,13.5,24.0,13.0,13.5,22.0,60.0,35.0,35.0,50.0,350.0
C6QNBcmQ,28/12/2023,10:00,UGANDA - PREMIER LEAGUE,UPDF,Kampala City,ROUND 13,2.77,3.0,2.4,1.45,2.27,1.05,8.0,1.36,2.79,2.07,1.6,3.84,1.2,8.0,1.05,1.84,1.92,,,,,7.8,6.0,9.25,20.0,6.8,5.2,8.0,17.5,11.25,8.75,12.0,27.0,26.0,20.0,27.0,55.0,400.0
p0YylfeJ,28/12/2023,10:00,UGANDA - PREMIER LEAGUE,Airtel Kitara,Arua Hill,ROUND 13,1.44,4.05,5.8,1.33,3.04,1.01,11.0,1.22,3.65,1.7,1.93,2.79,1.36,6.5,1.08,1.9,1.86,,,,,11.25,13.0,29.0,90.0,6.0,7.0,15.5,50.0,5.9,7.0,15.0,45.0,8.25,9.75,21.0,65.0,450.0
b3MJCwYJ,28/12/2023,10:00,UGANDA - PREMIER LEAGUE,BUL,Busoga,ROUND 13,1.22,5.5,9.25,1.23,3.7,17.0,1.01,1.11,5.5,1.44,2.5,2.02,1.62,3.48,1.24,2.04,1.74,,,,,17.0,23.0,55.0,200.0,7.5,10.25,25.0,90.0,5.8,7.9,19.5,65.0,6.4,8.75,21.0,75.0,450.0
jBveCAa7,28/12/2023,11:00,IRAN - PERSIAN GULF PRO LEAGUE,Persepolis,Nassaji Mazandaran,ROUND 11,1.26,4.9,12.0,1.44,2.62,1.07,7.1,1.33,3.05,2.0,1.75,3.35,1.28,5.8,1.1,2.85,1.37,,,,,7.1,21.0,90.0,500.0,5.0,10.75,45.0,250.0,4.75,10.25,40.0,250.0,6.5,14.0,60.0,350.0,
SdVrwrOH,28/12/2023,11:30,INDIA - ISL,Mumbai City,Chennaiyin,-,1.5,4.5,5.5,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,2.25,1.57,3.75,1.25,1.62,2.2,1.5,2.5,1.15,5.5,17.0,19.0,34.0,51.0,9.5,9.0,17.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,21.0,41.0,151.0
tb8oBISM,28/12/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Riyadh,Damac,ROUND 19,5.25,3.75,1.57,1.36,3.0,1.04,9.0,1.25,3.75,1.8,2.0,2.75,1.4,5.0,1.14,1.83,1.83,5.25,1.16,2.3,1.6,11.0,7.5,7.5,12.0,15.0,7.5,8.5,13.0,29.0,17.0,17.0,26.0,51.0,41.0,41.0,51.0,700.0
CIKYDKr4,28/12/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Hazem,ROUND 19,1.57,4.0,5.0,1.33,3.25,1.04,9.0,1.22,4.0,1.73,2.08,2.75,1.4,5.0,1.14,1.83,1.83,1.58,2.35,1.18,4.8,12.0,15.0,29.0,51.0,7.5,8.0,17.0,41.0,7.5,8.5,17.0,41.0,11.0,13.0,26.0,51.0,600.0
OnJfcyX0,28/12/2023,12:00,NIGERIA - NPFL,Rivers United,Bendel,ROUND 16,1.57,3.3,6.7,1.57,2.1,1.13,4.4,1.52,2.22,2.45,1.42,4.25,1.14,,,2.47,1.42,1.75,1.98,,,4.7,11.5,40.0,200.0,4.4,7.2,25.0,120.0,5.7,9.25,29.0,150.0,10.5,17.0,50.0,250.0,
bwqjzMH6,28/12/2023,12:00,NIGERIA - NPFL,Plateau United,Sporting Lagos,ROUND 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
djElJIgK,28/12/2023,12:00,NIGERIA - NPFL,Lobi Stars,Niger Tornadoes,ROUND 16,1.31,4.25,11.0,1.5,2.25,1.07,7.0,1.42,2.45,2.25,1.5,3.8,1.18,,,3.0,1.29,,,,,7.0,17.5,75.0,500.0,4.25,10.0,45.0,300.0,4.5,10.75,50.0,300.0,6.9,16.5,75.0,450.0,
6B8aden7,28/12/2023,12:00,NIGERIA - NPFL,Heartland,Remo Stars,ROUND 16,2.67,2.7,2.9,1.62,2.02,1.13,4.45,1.55,2.15,2.57,1.39,4.45,1.13,,,2.07,1.6,,,,,4.45,6.2,13.0,40.0,6.3,5.5,11.75,35.0,12.0,10.5,18.0,60.0,32.0,28.0,50.0,120.0,
IaFpKbvE,28/12/2023,12:00,NIGERIA - NPFL,Kano Pillars,Kwara,ROUND 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIQAugIC,28/12/2023,12:00,NIGERIA - NPFL,Enugu Rangers,Shooting,ROUND 16,1.5,3.55,7.3,1.57,2.1,1.08,6.5,1.53,2.2,2.5,1.4,4.35,1.14,,,2.7,1.35,,,,,6.1,12.0,45.0,200.0,4.2,8.0,29.0,150.0,5.2,10.0,35.0,175.0,9.25,18.0,65.0,350.0,
GMFnac2l,28/12/2023,12:00,NIGERIA - NPFL,Bayelsa United,Enyimba,ROUND 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dR2eF1D,28/12/2023,12:00,NIGERIA - NPFL,Abia Warriors,Gombe,ROUND 16,1.44,3.75,7.9,1.53,2.18,1.06,6.6,1.47,2.32,2.35,1.47,4.05,1.16,,,2.67,1.36,,,,,6.6,13.5,50.0,250.0,4.3,8.5,30.0,150.0,5.0,9.75,35.0,200.0,8.5,16.5,60.0,300.0,
4SPt9fYF,28/12/2023,12:00,MOROCCO - BOTOLA PRO,Raja Casablanca,IR Tanger,ROUND 13,1.3,4.2,9.5,1.44,2.63,1.08,8.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,2.75,1.4,1.33,3.3,1.11,6.8,8.0,19.0,51.0,151.0,5.0,9.0,34.0,101.0,5.0,10.0,29.0,101.0,7.5,15.0,41.0,126.0,101.0
QyRxAzJ9,28/12/2023,12:00,MOROCCO - BOTOLA PRO,FUS Rabat,Youssoufia Berrechid,ROUND 13,1.4,3.8,8.5,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,2.63,1.44,1.43,2.75,1.11,6.6,7.5,15.0,41.0,101.0,5.0,8.5,26.0,67.0,5.5,9.5,29.0,81.0,9.0,15.0,41.0,101.0,101.0
pdKjbHHf,28/12/2023,12:00,NIGERIA - NPFL,Katsina Utd,Akwa United,ROUND 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1Up8EmM,28/12/2023,14:00,MOROCCO - BOTOLA PRO,Chabab Mohammedia,Berkane,ROUND 13,5.5,3.1,1.62,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.25,1.57,5.5,1.15,2.15,1.68,6.5,5.0,6.5,12.0,12.0,6.5,9.0,17.0,29.0,21.0,21.0,41.0,67.0,51.0,51.0,81.0,301.0
ChTl7Y2S,28/12/2023,16:00,MOROCCO - BOTOLA PRO,Moghreb Tetouan,Union Touarga,ROUND 13,2.0,3.0,3.5,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,13.0,1.04,2.2,1.62,2.08,1.73,1.3,3.45,6.5,8.0,17.0,41.0,6.0,6.5,13.0,34.0,9.0,10.0,19.0,41.0,19.0,21.0,41.0,81.0,900.0
ABodSlkd,28/12/2023,16:30,ENGLAND - PREMIER LEAGUE,Brighton,Tottenham,ROUND 19,2.55,3.75,2.55,1.25,3.75,1.03,17.0,1.14,5.5,1.48,2.6,2.1,1.73,3.75,1.29,1.4,2.75,2.43,1.53,1.53,2.43,21.0,15.0,19.0,29.0,15.0,8.5,11.0,19.0,19.0,11.0,12.0,21.0,29.0,19.0,21.0,34.0,101.0
hQ39L9vl,28/12/2023,17:15,PORTUGAL - LIGA PORTUGAL,Estrela,Arouca,ROUND 15,2.63,3.3,2.6,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.91,1.91,2.5,1.5,1.5,2.5,9.0,8.0,12.0,26.0,8.0,6.5,10.0,21.0,12.0,10.0,15.0,34.0,26.0,23.0,34.0,51.0,301.0
xbmlUAKq,28/12/2023,17:15,ENGLAND - PREMIER LEAGUE,Arsenal,West Ham,ROUND 19,1.3,5.75,9.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.38,1.57,4.0,1.25,1.95,1.8,1.3,3.45,1.11,6.6,17.0,26.0,51.0,126.0,8.5,11.0,29.0,67.0,7.5,9.0,23.0,51.0,9.5,12.0,26.0,67.0,351.0
