Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
nPj4xpfK,27/06/2024,10:00,EGYPT - PREMIER LEAGUE,El Gouna,Future FC,ROUND 28,4.3,2.85,1.98,2.32,1.47,1.98,1.65
40o9y49Q,27/06/2024,13:00,EGYPT - PREMIER LEAGUE,El Ismaily,Al Masry,ROUND 28,3.25,2.7,2.42,2.12,1.57,1.75,1.87
69XzXNHs,27/06/2024,13:00,EGYPT - PREMIER LEAGUE,ZED,El Gaish,ROUND 28,2.02,2.77,4.2,2.4,1.45,2.0,1.65
zmlJUkSh,27/06/2024,14:00,NORWAY - ELITESERIEN,Sandefjord,HamKam,ROUND 12,1.95,3.8,3.5,1.62,2.25,1.62,2.2
vLfMndz9,27/06/2024,15:00,ICELAND - BESTA DEILD KARLA,Vestri,Fram,ROUND 12,2.95,3.5,2.18,1.62,2.2,1.53,2.35
nobUpz5L,27/06/2024,16:15,ICELAND - BESTA DEILD KARLA,KR Reykjavik,Fylkir,ROUND 12,1.72,4.3,3.75,1.3,3.2,1.34,3.0
YsfQoGkF,27/06/2024,16:15,ICELAND - BESTA DEILD KARLA,Stjarnan,Vikingur Reykjavik,ROUND 12,3.25,3.8,1.95,1.44,2.62,1.42,2.67
Gb5GT9sa,27/06/2024,16:15,NORWAY - ELITESERIEN,Lillestrom,KFUM Oslo,ROUND 12,1.91,3.75,3.6,1.73,2.08,1.67,2.1
80x5ehfh,27/06/2024,19:00,BRAZIL - SERIE A,Fluminense,Vitoria,ROUND 12,1.91,3.3,4.33,2.25,1.62,2.0,1.75
rJUHhjvB,27/06/2024,20:00,BRAZIL - SERIE A,Sao Paulo,Criciuma,ROUND 12,1.57,3.9,6.0,2.05,1.75,2.05,1.7
