Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
IFcEC1YK,03/10/2023,09:00,HONG KONG - PREMIER LEAGUE,Southern District,Resources Capital,ROUND 4,1.24,5.5,9.75,1.21,3.9,1.01,15.0,1.12,5.4,1.44,2.42,2.02,1.62,3.15,1.26,1.85,1.75,,,,,17.0,31.0,81.0,201.0,6.5,10.0,26.0,101.0,5.5,7.0,18.0,91.0,6.0,8.0,19.0,81.0,201.0
dnSN2T2R,03/10/2023,09:00,ALBANIA - SUPERLIGA,KF Tirana,Laci,ROUND 7,1.88,3.35,3.55,1.44,2.47,1.03,8.9,1.31,3.04,1.93,1.7,3.48,1.24,6.4,1.08,1.83,1.93,,,,,8.0,10.0,19.0,56.0,6.0,6.0,12.0,34.0,7.5,7.5,13.0,51.0,13.0,13.0,23.0,61.0,67.0
rcXKtIn0,03/10/2023,10:00,UGANDA - PREMIER LEAGUE,Mbarara City,Vipers,ROUND 3,3.6,2.95,2.02,1.57,2.15,1.08,6.15,1.5,2.25,2.54,1.43,5.05,1.12,9.1,1.03,2.17,1.66,,,,,,,,,,,,,,,,,,,,,
fuwex57q,03/10/2023,10:00,ARMENIA - PREMIER LEAGUE,Ararat-Armenia,Urartu,ROUND 11,1.9,3.4,3.45,1.32,3.1,10.5,1.04,1.21,3.74,1.7,1.93,2.71,1.38,4.95,1.12,1.62,2.23,,,,,9.5,10.0,15.0,36.0,6.5,5.5,10.0,21.0,8.0,6.5,10.0,26.0,14.0,11.0,19.0,41.0,201.0
0xS9SN3m,03/10/2023,11:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Torpedo Kutaisi,Saburtalo Tbilisi,ROUND 28,2.57,3.1,2.5,1.37,2.85,1.02,10.0,1.24,3.48,1.75,1.85,2.93,1.33,5.8,1.1,1.63,2.22,,,,,8.5,7.5,10.0,21.0,8.0,5.5,7.5,15.0,11.0,8.0,10.0,21.0,21.0,17.0,23.0,46.0,201.0
tdu7Z2i2,03/10/2023,12:00,ARMENIA - PREMIER LEAGUE,Shirak Gyumri,Van,ROUND 11,1.98,3.3,3.3,1.42,2.5,1.03,8.4,1.31,3.04,1.93,1.7,3.42,1.25,6.65,1.06,1.8,1.96,,,,,7.5,8.5,14.0,36.0,6.0,5.0,9.5,23.0,8.0,7.0,11.0,31.0,15.0,14.0,23.0,56.0,201.0
2oGNsbXg,03/10/2023,12:30,UGANDA - PREMIER LEAGUE,Kampala City,Maroons,ROUND 3,1.47,3.7,6.2,1.47,2.37,,,1.37,2.75,2.1,1.57,3.94,1.19,7.3,1.06,2.32,1.58,,,,,,,,,,,,,,,,,,,,,
dW7p8Z1r,03/10/2023,13:00,BELARUS - VYSSHAYA LIGA,Energetik-BGU,BATE,ROUND 17,7.09,4.4,1.43,1.35,3.04,1.01,9.9,1.23,3.56,1.81,1.97,2.91,1.33,5.35,1.1,1.99,1.78,,,,,,,,,,,,,,,,,,,,,
82VHQ1Ya,03/10/2023,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dinamo Tbilisi,Dila Gori,ROUND 28,1.65,3.65,4.4,1.31,3.15,1.01,12.1,1.19,3.96,1.65,1.98,2.64,1.4,4.5,1.16,1.68,2.13,,,,,11.0,14.0,21.0,51.0,7.0,6.0,12.0,26.0,7.5,6.5,10.0,26.0,11.0,9.5,15.0,41.0,201.0
rmrqwlPO,03/10/2023,13:45,EUROPE - CHAMPIONS LEAGUE,Salzburg,Real Sociedad,GROUP STAGE ,3.0,3.3,2.4,1.44,2.63,1.07,9.0,1.33,3.4,2.05,1.75,3.75,1.29,7.0,1.1,1.8,1.95,3.0,1.38,1.6,2.3,9.0,8.0,11.0,23.0,9.0,6.0,9.5,19.0,15.0,11.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
2DMCz1cT,03/10/2023,13:45,FRANCE - LIGUE 2,Bordeaux,Caen,ROUND 7,2.2,3.3,3.2,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.8,1.91,2.15,1.68,1.35,3.1,9.5,9.5,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
Gd6xEzik,03/10/2023,13:45,EUROPE - CHAMPIONS LEAGUE,Union Berlin,Braga,GROUP STAGE ,1.91,3.6,4.0,1.4,2.75,1.06,10.0,1.3,3.5,2.01,1.89,3.4,1.33,6.5,1.11,1.8,1.95,1.97,1.96,1.26,3.7,10.0,11.0,21.0,41.0,7.5,6.5,13.0,34.0,9.0,8.5,15.0,41.0,17.0,15.0,26.0,51.0,251.0
