Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
zP7VMVQF,01/11/2023,00:00,MEXICO - LIGA MX,Club Leon,U.N.A.M.- Pumas,APERTURA ,2.0,3.5,3.8,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,2.0,1.85,1.28,3.55,12.0,13.0,21.0,41.0,9.0,6.5,13.0,29.0,10.0,8.5,12.0,34.0,17.0,15.0,23.0,41.0,151.0
ImczMktM,01/11/2023,00:05,MEXICO - LIGA MX,Monterrey,Necaxa,APERTURA ,1.36,4.75,9.0,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.8,1.95,1.35,3.1,1.11,6.6,15.0,21.0,41.0,81.0,8.0,9.5,23.0,51.0,7.5,8.5,19.0,51.0,9.0,11.0,23.0,51.0,251.0
viXcjhws,01/11/2023,08:00,SPAIN - COPA DEL REY,Compostela,Tenerife,1/64-FINALS,5.25,3.4,1.65,1.44,2.63,1.07,8.5,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,2.05,1.7,5.25,1.16,2.15,1.68,8.5,6.0,7.0,12.0,12.0,7.0,8.5,15.0,26.0,17.0,19.0,34.0,51.0,41.0,51.0,67.0,451.0
p4Om5hVH,01/11/2023,08:00,UGANDA - PREMIER LEAGUE,Airtel Kitara,Maroons,ROUND 6,1.98,3.1,3.5,1.5,2.3,1.06,7.5,1.41,2.7,2.18,1.53,4.2,1.19,9.0,1.03,2.0,1.77,,,,,7.4,7.3,14.0,37.0,5.1,5.4,10.5,28.0,7.1,7.5,14.0,37.0,14.0,15.0,28.0,70.0,500.0
S6nzBpLN,01/11/2023,08:00,SPAIN - COPA DEL REY,UCAM Murcia,Linares,1/64-FINALS,2.6,3.1,2.5,1.47,2.32,1.04,7.4,1.39,2.57,2.25,1.62,3.6,1.2,7.9,1.03,1.88,1.72,,,,,8.0,7.5,12.0,26.0,7.5,6.0,10.0,23.0,12.0,11.0,17.0,34.0,29.0,23.0,34.0,51.0,351.0
dCmq8N3j,01/11/2023,08:00,SPAIN - COPA DEL REY,San Roque,Girona,1/64-FINALS,11.0,5.75,1.22,1.29,3.5,1.03,17.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,2.2,1.62,,,3.9,1.24,13.0,7.5,6.0,7.0,23.0,11.0,9.5,11.0,51.0,29.0,26.0,34.0,151.0,81.0,67.0,81.0,501.0
84AQ80g8,01/11/2023,08:00,SPAIN - COPA DEL REY,Pena Deportiva,Valladolid,1/64-FINALS,5.5,3.4,1.62,1.47,2.52,1.07,6.7,1.35,2.95,2.0,1.8,3.4,1.27,5.9,1.1,2.02,1.7,,,2.3,1.57,9.0,6.5,7.5,12.0,13.0,7.0,8.5,15.0,29.0,19.0,17.0,29.0,67.0,41.0,51.0,51.0,351.0
AVyuA4zU,01/11/2023,08:00,SPAIN - COPA DEL REY,Naxara,Melilla,1/64-FINALS,4.33,3.25,1.83,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,2.0,1.75,4.15,1.22,1.98,1.88,8.0,6.5,8.0,15.0,11.0,6.5,9.0,17.0,21.0,15.0,17.0,34.0,51.0,41.0,41.0,51.0,401.0
0bmahu9R,01/11/2023,08:00,SPAIN - COPA DEL REY,Navalcarnero,Alcorcon,1/64-FINALS,5.5,3.4,1.62,1.47,2.52,1.07,6.8,1.34,3.0,2.0,1.8,3.35,1.28,5.9,1.1,1.95,1.75,,,2.2,1.62,9.0,6.5,7.5,12.0,13.0,7.0,8.5,15.0,29.0,19.0,17.0,29.0,67.0,41.0,51.0,51.0,351.0
hdSwoc11,01/11/2023,08:00,SPAIN - COPA DEL REY,Llerenense,Leganes,1/64-FINALS,5.0,4.75,1.55,1.4,2.75,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,2.38,1.53,,,,,10.0,6.0,6.5,10.0,11.0,9.0,9.0,15.0,26.0,17.0,23.0,34.0,67.0,41.0,51.0,81.0,501.0
