Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
MROKmGsG,10/06/2024,19:00,BRAZIL - SERIE B,Vila Nova FC,Ceara,ROUND 9,2.45,3.1,3.0,2.35,1.57,2.0,1.73
vPAj1ZBF,10/06/2024,21:30,BRAZIL - SERIE B,Sport Recife,Paysandu PA,ROUND 9,1.57,3.8,6.0,2.03,1.83,2.0,1.73
