Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
AqDkOIkJ,05/08/2023,00:00,FIJI - PREMIER LEAGUE,Ba,Labasa,ROUND 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPYCht8G,05/08/2023,02:00,MONGOLIA - PREMIER LEAGUE,Deren,Tuv Buganuud,ROUND 1,1.21,6.0,11.0,,,1.03,9.0,1.22,4.2,1.6,2.2,2.02,1.62,1.4,2.75,,,,,36.0,46.0,61.0,67.0,12.0,13.0,23.0,51.0,9.5,7.5,13.0,34.0,9.5,8.0,12.0,26.0,67.0
S6rPCXOc,05/08/2023,05:00,ROMANIA - LIGA 2,Unirea Dej,CSM Alexandria,ROUND 1,1.84,3.52,3.97,1.02,9.9,1.28,3.2,1.95,1.83,3.2,1.28,6.1,1.09,1.79,1.98,,,,,8.5,9.5,17.0,46.0,6.5,6.0,11.0,26.0,8.0,7.5,12.0,36.0,13.0,13.0,21.0,67.0,101.0
SORLjKxT,05/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Khaan Khuns-Erchim,Khovd,ROUND 1,2.18,4.15,2.64,,,1.05,8.0,1.2,4.33,1.58,2.17,2.38,1.57,1.23,3.97,,,,,29.0,17.0,17.0,23.0,19.0,8.5,9.0,13.0,19.0,10.0,8.5,12.0,29.0,15.0,13.0,15.0,61.0
8r9naEfb,05/08/2023,05:00,ROMANIA - LIGA 2,Csikszereda M. Ciuc,Concordia,ROUND 1,2.2,3.28,3.13,1.03,9.0,1.3,3.08,2.01,1.78,3.42,1.25,6.9,1.07,1.77,2.0,,,,,8.5,8.5,13.0,31.0,7.0,5.5,9.5,21.0,9.5,7.5,11.0,26.0,19.0,15.0,23.0,61.0,101.0
r11adCvH,05/08/2023,05:00,ROMANIA - LIGA 2,CSM Resita,Unirea Slobozia,ROUND 1,2.59,3.3,2.52,1.03,8.8,1.28,3.2,1.95,1.83,3.28,1.27,7.0,1.06,1.71,2.08,,,,,8.0,7.5,11.0,21.0,8.0,5.5,8.5,17.0,12.0,9.0,11.0,23.0,23.0,19.0,29.0,61.0,101.0
MoDjbY94,05/08/2023,05:00,ROMANIA - LIGA 2,Progresul Spartac,CSC Dumbravita,ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lGqLDD9i,05/08/2023,05:00,ROMANIA - LIGA 2,Metaloglobus Bucharest,Selimbar,ROUND 1,1.99,3.28,3.67,1.05,8.0,1.36,2.79,2.19,1.66,3.88,1.2,8.1,1.04,1.91,1.85,,,,,7.0,9.0,15.0,41.0,6.0,5.5,11.0,29.0,8.0,7.5,13.0,41.0,15.0,15.0,29.0,76.0,101.0
M9iZkAHp,05/08/2023,05:00,ROMANIA - LIGA 2,Tunari,CSM Slatina,ROUND 1,2.44,3.28,2.7,1.03,8.8,1.3,3.08,2.01,1.78,3.42,1.25,7.0,1.07,1.75,2.03,,,,,8.5,8.0,12.0,23.0,7.5,5.5,9.0,19.0,11.0,8.5,11.0,26.0,21.0,17.0,26.0,67.0,101.0
xxG2eWgN,05/08/2023,05:00,ROMANIA - LIGA 2,Viitorul Tg. Jiu,FC Arges,ROUND 1,5.02,3.85,1.61,1.02,10.0,1.24,3.48,1.85,1.93,2.98,1.32,5.9,1.1,1.82,1.94,,,,,9.5,6.0,7.0,12.0,12.0,6.5,6.5,12.0,23.0,13.0,13.0,21.0,67.0,36.0,46.0,67.0,101.0
QmBW53TM,05/08/2023,05:00,INDONESIA - LIGA 1,Arema FC,Barito Putera,ROUND 6,2.47,3.48,2.54,1.01,11.5,1.21,3.74,1.74,2.07,2.71,1.38,4.9,1.12,1.57,2.34,,,,,11.0,9.0,12.0,21.0,9.0,6.0,8.0,15.0,12.0,8.5,10.0,19.0,23.0,15.0,21.0,41.0,67.0
