Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
rwLgNint,24/12/2023,04:00,HONG KONG - PREMIER LEAGUE,North District,Southern District,ROUND 8,3.1,3.7,2.02,1.29,3.25,1.01,12.5,1.15,4.7,1.52,2.2,2.25,1.5,3.55,1.21,1.47,2.32,,,,,15.5,10.75,12.0,20.0,13.0,7.6,8.75,14.0,19.0,11.0,12.0,19.5,40.0,23.0,25.0,40.0,200.0
EPDqA6FR,24/12/2023,05:30,INDIA - I-LEAGUE,Delhi FC,Real Kashmir,ROUND 12,2.15,3.45,3.0,1.33,3.15,1.01,11.4,1.22,3.45,1.65,1.98,2.55,1.39,4.8,1.13,1.57,2.12,,,,,12.5,11.5,17.5,37.0,9.0,6.9,10.5,23.0,11.5,8.75,12.5,27.0,21.0,16.0,23.0,45.0,300.0
Q5Q4OyAa,24/12/2023,07:30,IRAN - PERSIAN GULF PRO LEAGUE,Paykan,Foolad,ROUND 14,3.1,2.67,2.6,1.75,2.0,1.17,4.45,1.72,2.05,3.05,1.33,5.7,1.1,9.25,1.03,2.37,1.52,,,1.5,2.5,4.45,5.4,10.75,30.0,6.1,5.7,11.5,32.0,13.5,12.5,22.0,65.0,45.0,40.0,70.0,175.0,
dODAOLna,24/12/2023,07:30,TURKEY - 1. LIG,Bodrumspor,Goztepe,ROUND 17,2.25,3.2,3.2,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,2.2,1.65,1.35,3.1,8.5,9.0,15.0,34.0,7.0,6.0,12.0,29.0,10.0,9.5,15.0,41.0,21.0,19.0,29.0,51.0,301.0
Iw2JMaHB,24/12/2023,07:30,TURKEY - 1. LIG,Bandirmaspor,Adanaspor AS,ROUND 17,1.4,4.5,7.0,1.33,3.25,1.04,12.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,2.0,1.73,1.43,2.75,1.12,6.25,12.0,17.0,34.0,81.0,7.0,9.0,21.0,51.0,6.5,8.5,21.0,51.0,9.5,12.0,29.0,67.0,351.0
r1eVYBHa,24/12/2023,07:30,TURKEY - SUPER LIG,Konyaspor,Kayserispor,ROUND 18,2.25,3.3,2.9,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,2.25,1.63,1.38,3.0,11.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,11.0,9.5,13.0,29.0,21.0,19.0,26.0,41.0,201.0
0MDweqOl,24/12/2023,07:30,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Trat FC,ROUND 15,1.72,3.85,4.2,1.34,3.0,1.04,8.5,1.21,3.9,1.65,2.15,2.55,1.45,4.25,1.18,1.65,2.12,1.7,2.07,,,8.5,14.0,25.0,65.0,8.5,7.6,14.0,37.0,9.0,8.25,14.0,37.0,14.0,12.5,21.0,55.0,350.0
2obxGp0E,24/12/2023,08:00,THAILAND - THAI LEAGUE 1,Chiangrai Utd,Prachuap,ROUND 15,2.15,3.35,3.15,1.42,2.67,1.06,7.4,1.29,3.25,1.88,1.85,3.05,1.33,5.3,1.12,1.72,2.02,2.07,1.7,,,7.4,10.25,17.0,40.0,7.7,6.5,11.0,26.0,10.5,8.75,13.5,32.0,20.0,17.0,27.0,60.0,450.0
6aEZeP8r,24/12/2023,08:30,THAILAND - THAI LEAGUE 1,Bangkok Utd,Police Tero,ROUND 15,1.21,6.2,11.0,1.25,3.6,1.02,10.0,1.13,5.1,1.42,2.65,2.05,1.72,3.2,1.3,2.0,1.72,,,,,10.0,32.0,90.0,350.0,9.25,13.0,35.0,150.0,6.8,9.75,26.0,100.0,7.3,10.5,28.0,110.0,800.0
WOSeqwnP,24/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Esteghlal Khuzestan,Mes Rafsanjan,ROUND 14,2.8,2.92,2.62,1.7,2.07,1.14,4.9,1.65,2.15,2.87,1.37,5.4,1.12,9.0,1.03,2.35,1.52,2.2,1.62,,,4.9,5.7,10.75,29.0,5.9,6.0,11.5,32.0,11.75,12.0,23.0,65.0,32.0,35.0,65.0,175.0,
bJOCMFvC,24/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Gol Gohar,Esteghlal F.C.,ROUND 14,4.55,3.0,1.91,1.65,2.15,1.13,5.1,1.57,2.3,2.65,1.42,4.85,1.14,8.25,1.04,2.3,1.55,,,1.85,1.88,5.1,5.0,7.5,16.0,8.5,6.1,9.25,19.5,23.0,17.0,22.0,45.0,90.0,65.0,90.0,175.0,
KSP8NeP5,24/12/2023,08:30,IRAN - PERSIAN GULF PRO LEAGUE,Nassaji Mazandaran,Havadar SC,ROUND 14,2.02,2.9,4.2,1.7,2.07,1.14,4.9,1.62,2.2,2.8,1.39,5.2,1.13,8.75,1.04,2.35,1.53,1.98,1.78,,,4.9,8.0,20.0,75.0,4.85,6.0,15.5,60.0,7.8,9.75,22.0,80.0,18.0,22.0,50.0,175.0,
Uedfy07S,24/12/2023,08:30,IRAQ - SUPER LEAGUE,Al Karkh,Zakho,ROUND 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEjUUcpd,24/12/2023,08:30,IRAQ - SUPER LEAGUE,Newroz,Al Naft,ROUND 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vVuALZgI,24/12/2023,09:00,IRAN - PERSIAN GULF PRO LEAGUE,Sepahan,Aluminium Arak,ROUND 14,1.44,4.05,7.4,1.45,2.57,1.07,6.9,1.33,3.05,2.0,1.75,3.3,1.28,5.8,1.1,2.22,1.6,1.65,2.15,,,6.9,15.5,45.0,200.0,5.6,8.0,25.0,110.0,5.9,8.5,24.0,110.0,9.0,13.0,35.0,150.0,
vDCsf3we,24/12/2023,09:00,THAILAND - THAI LEAGUE 1,Pathum United,Nakhon Pathom,ROUND 15,1.4,4.8,6.5,1.28,3.3,1.03,9.25,1.17,4.45,1.52,2.37,2.25,1.57,3.65,1.24,1.75,1.98,,,,,9.25,21.0,45.0,120.0,8.75,9.75,20.0,60.0,7.6,8.5,17.5,55.0,9.5,10.75,22.0,70.0,450.0
z3C1ecuE,24/12/2023,09:00,AZERBAIJAN - PREMIER LEAGUE,Neftci Baku,Kapaz,ROUND 18,1.75,3.5,4.35,1.42,2.45,1.03,8.3,1.33,2.8,1.98,1.65,3.2,1.25,6.8,1.06,1.88,1.72,,,,,8.75,10.75,23.0,75.0,6.3,6.8,15.0,45.0,7.7,8.25,17.5,55.0,13.5,14.5,30.0,90.0,800.0
l2vNcQXD,24/12/2023,09:00,SCOTLAND - PREMIERSHIP,Motherwell,Rangers,ROUND 19,10.0,5.25,1.33,1.3,3.4,1.03,15.0,1.2,4.5,1.65,2.2,2.63,1.5,4.5,1.2,2.0,1.75,7.0,1.1,3.3,1.33,13.0,7.5,6.5,8.5,21.0,10.0,9.0,11.0,41.0,23.0,21.0,29.0,101.0,51.0,51.0,67.0,351.0
pEwStQOh,24/12/2023,09:00,INDIA - ISL,Bengaluru FC,North East Utd,-,1.8,3.6,3.8,1.36,3.0,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.8,1.91,1.8,2.0,1.25,3.8,11.0,12.0,21.0,41.0,7.5,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
fJHnuT5d,24/12/2023,09:30,ALBANIA - SUPERLIGA,Egnatia,KF Tirana,ROUND 18,1.55,3.5,5.6,1.42,2.35,1.03,8.8,1.31,3.04,1.93,1.7,3.42,1.25,6.4,1.08,2.04,1.74,,,,,8.5,10.5,26.0,90.0,5.1,6.1,15.5,55.0,5.7,6.9,15.5,55.0,9.0,10.75,24.0,75.0,67.0
rRpfwk7C,24/12/2023,09:45,UNITED ARAB EMIRATES - UAE LEAGUE,Al Bataeh,Al Ain,ROUND 12,8.25,5.6,1.28,1.24,3.65,1.02,10.0,1.13,5.2,1.4,2.72,2.0,1.75,3.1,1.32,1.75,1.98,,,,,10.0,10.25,7.8,8.75,29.0,11.75,9.0,10.0,60.0,25.0,19.5,22.0,200.0,80.0,60.0,70.0,450.0
ADnnuBx0,24/12/2023,09:45,UNITED ARAB EMIRATES - UAE LEAGUE,Al Sharjah,Ajman,ROUND 12,1.38,4.9,6.5,1.25,3.6,1.02,10.0,1.13,5.1,1.42,2.67,2.05,1.72,3.15,1.31,1.62,2.15,,,,,10.0,24.0,45.0,120.0,10.5,10.25,20.0,55.0,8.5,8.5,16.5,45.0,10.25,10.25,19.5,55.0,300.0
