Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
0CYBtzsn,27/03/2024,16:00,URUGUAY - PRIMERA DIVISION,Progreso,Rampla Juniors,APERTURA ,1.65,3.8,4.5,1.9,1.95,1.83,1.83
YRNmbGNe,27/03/2024,17:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Bangor FC,Institute,ROUND 30,1.91,3.8,3.3,1.6,2.07,1.57,2.12
dEUFGoIc,27/03/2024,18:00,COLOMBIA - PRIMERA A,Bucaramanga,Aguilas,APERTURA ,2.1,3.2,3.8,2.6,1.48,2.2,1.62
OEJKoRxa,27/03/2024,19:00,PARAGUAY - PRIMERA DIVISION,Tacuary,Ameliano,APERTURA ,2.75,3.2,2.38,2.15,1.67,1.8,1.9
6w9SQAO7,27/03/2024,20:10,COLOMBIA - PRIMERA A,Atl. Nacional,Jaguares de Cordoba,APERTURA ,1.55,3.75,7.0,2.1,1.7,2.2,1.62
xxnb1nZI,27/03/2024,21:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Lanus,Union de Santa Fe,ROUND 12,2.0,3.1,4.2,2.7,1.44,2.25,1.57
S6GyrqxO,27/03/2024,21:30,PARAGUAY - PRIMERA DIVISION,Sportivo Trinidense,Sp. Luqueno,APERTURA ,3.6,3.3,1.91,2.0,1.8,1.82,1.88
AuRsU1iL,27/03/2024,22:20,COLOMBIA - PRIMERA A,Millonarios,Santa Fe,APERTURA ,2.25,3.1,3.6,2.5,1.5,2.1,1.67
