Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
ENj2V7ZJ,28/07/2023,05:00,INDONESIA - LIGA 1,PSIS Semarang,Borneo,ROUND 5,2.27,3.56,2.79,12.2,1.01,1.17,4.25,1.64,2.23,2.5,1.44,4.4,1.16,1.51,2.48,,,,,12.0,11.0,15.0,26.0,9.0,6.0,9.0,17.0,11.0,8.0,9.5,21.0,17.0,13.0,17.0,34.0,67.0
hEk6URlQ,28/07/2023,05:00,INDONESIA - LIGA 1,Persikabo 1973,Persita,ROUND 5,3.0,3.32,2.25,1.02,8.8,1.29,3.18,1.98,1.81,3.28,1.27,6.3,1.07,1.73,2.05,,,,,8.5,7.0,9.5,17.0,9.0,5.5,8.0,15.0,13.0,9.5,11.0,21.0,29.0,21.0,31.0,56.0,67.0
C62rUQqh,28/07/2023,08:35,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Shenzhen,ROUND 19,1.25,5.5,13.0,1.04,12.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,2.25,1.57,1.24,3.9,,,12.0,26.0,51.0,151.0,6.5,10.0,34.0,101.0,6.0,9.5,26.0,81.0,7.0,12.0,34.0,81.0,501.0
fqcaAEoe,28/07/2023,08:45,SINGAPORE - PREMIER LEAGUE,DPMM,Geylang,-,2.5,3.6,2.3,1.01,23.0,1.1,7.0,1.36,3.1,1.83,1.83,3.0,1.36,1.33,3.25,,,,,23.0,17.0,17.0,26.0,17.0,8.5,11.0,17.0,19.0,11.0,10.0,19.0,29.0,17.0,19.0,23.0,67.0
KEULu3t4,28/07/2023,08:45,SINGAPORE - PREMIER LEAGUE,Albirex Niigata,Tampines,-,1.7,4.0,3.6,1.01,19.0,1.07,6.35,1.36,3.1,1.9,1.9,2.84,1.35,1.36,3.03,,,,,26.0,21.0,26.0,41.0,13.0,9.5,13.0,26.0,13.0,9.0,12.0,23.0,17.0,12.0,17.0,29.0,81.0
beSYPocs,28/07/2023,09:00,INDONESIA - LIGA 1,Persik Kediri,Persib Bandung,ROUND 5,2.43,3.58,2.53,1.02,12.9,1.16,4.4,1.61,2.28,2.4,1.48,4.2,1.17,1.49,2.54,,,,,12.0,12.0,15.0,31.0,9.0,6.5,9.5,19.0,10.0,7.5,9.5,21.0,15.0,13.0,15.0,31.0,67.0
21SvnyL6,28/07/2023,09:15,VIETNAM - V.LEAGUE 1,Hanoi FC,Nam Dinh,CHAMPIONSHIP GROUP ,1.51,4.1,5.77,1.01,9.9,1.23,3.56,1.81,1.98,2.88,1.34,5.35,1.1,1.84,1.92,,,,,9.5,14.0,26.0,91.0,5.5,6.5,15.0,46.0,6.0,6.5,14.0,51.0,8.5,10.0,20.0,71.0,201.0
fiqbpO1A,28/07/2023,12:00,FINLAND - VEIKKAUSLIIGA,Ilves,VPS,-,2.45,3.2,2.7,1.07,9.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.8,1.95,2.43,1.53,1.45,2.68,9.0,8.5,13.0,29.0,8.0,6.0,11.0,23.0,12.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,251.0
CGcEEKxm,28/07/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Andijan,Nasaf Qarshi,ROUND 14,4.31,3.53,1.81,1.03,8.2,1.32,2.98,2.05,1.72,3.56,1.23,6.85,1.06,1.88,1.88,,,,,,,,,,,,,,,,,,,,,
bXeMCb7a,28/07/2023,12:00,UZBEKISTAN - SUPER LEAGUE,Olympic,Pakhtakor,ROUND 14,4.83,3.58,1.72,1.04,7.9,1.35,2.84,2.14,1.66,3.74,1.21,7.3,1.05,2.0,1.77,,,,,,,,,,,,,,,,,,,,,
