Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
vT6eLDhB,31/07/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Dorados de Sinaloa,Atletico La Paz,APERTURA ,2.82,3.54,2.31,1.01,10.9,1.19,3.9,1.72,2.12,2.67,1.39,4.8,1.13,1.56,2.36,,,,,9.5,8.0,10.0,20.0,8.5,5.5,7.5,14.0,12.0,8.0,9.5,18.0,23.0,15.0,21.0,36.0,201.0
Kz2Ue5ea,31/07/2023,07:00,SOUTH KOREA - K LEAGUE 2,Seoul E-Land,Asan,ROUND 24,2.5,3.2,2.63,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.91,1.8,2.5,1.5,1.48,2.6,8.0,7.5,12.0,26.0,7.5,6.5,11.0,23.0,12.0,10.0,17.0,34.0,26.0,23.0,34.0,51.0,351.0
Yw6YfPA5,31/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Anyang,Gimcheon Sangmu,ROUND 24,2.63,3.3,2.45,1.05,11.0,1.25,3.75,1.88,1.93,3.25,1.33,6.0,1.13,1.67,2.1,2.6,1.48,1.53,2.43,11.0,9.0,13.0,23.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
GtOUwsBG,31/07/2023,08:45,SINGAPORE - PREMIER LEAGUE,Lion City,Balestier Khalsa,-,1.22,5.75,8.5,1.01,34.0,1.05,11.0,1.2,4.33,1.5,2.5,2.1,1.67,1.44,2.63,1.24,3.9,,,34.0,41.0,51.0,101.0,19.0,15.0,29.0,51.0,12.0,11.0,17.0,41.0,11.0,10.0,17.0,34.0,81.0
02oKludD,31/07/2023,11:00,ARMENIA - PREMIER LEAGUE,Alashkert,Pyunik Yerevan,ROUND 1,3.43,3.26,2.08,1.04,7.7,1.35,2.84,2.18,1.67,3.74,1.21,7.4,1.04,1.87,1.89,,,,,6.5,5.5,8.0,15.0,7.5,5.0,7.5,15.0,14.0,10.0,12.0,26.0,36.0,26.0,36.0,76.0,201.0
2iDYdK5l,31/07/2023,12:30,FINLAND - YKKONEN,KaPa,JJK Jyvaskyla,-,1.8,3.75,3.6,1.02,19.0,1.13,6.0,1.48,2.6,2.1,1.67,3.5,1.29,1.44,2.63,1.85,2.0,1.28,3.55,21.0,17.0,23.0,41.0,12.0,8.0,13.0,26.0,12.0,9.0,12.0,26.0,17.0,13.0,19.0,34.0,101.0
46fVc0jr,31/07/2023,12:30,FINLAND - YKKONEN,TPS,SJK Akatemia,-,1.5,4.2,5.25,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.67,3.5,1.29,1.53,2.38,1.5,2.5,1.15,5.5,21.0,21.0,34.0,51.0,11.0,9.0,17.0,41.0,9.5,8.5,13.0,34.0,12.0,11.0,19.0,41.0,101.0
EVGSeVNF,31/07/2023,12:30,ROMANIA - LIGA 1,Petrolul,FC Voluntari,ROUND 3,2.5,3.2,2.9,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.91,1.8,2.43,1.53,1.43,2.75,8.0,8.0,13.0,29.0,7.0,6.0,11.0,26.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,51.0,351.0
OplSV274,31/07/2023,13:00,POLAND - DIVISION 1,GKS Katowice,Chrobry Glogow,ROUND 2,1.8,3.4,4.2,1.06,10.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.8,1.91,1.83,2.03,1.22,4.15,10.0,13.0,23.0,41.0,7.5,6.5,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,201.0
YRwT9PWL,31/07/2023,13:30,RUSSIA - PREMIER LEAGUE,Spartak Moscow,Baltika,ROUND 2,1.5,4.84,7.03,,,1.18,4.15,1.73,2.28,2.54,1.44,4.5,1.15,1.84,1.92,,,,,,,,,,,,,,,,,,,,,
GnJzm57f,31/07/2023,13:45,ESTONIA - MEISTRILIIGA,Kuressaare,Tammeka,ROUND 1,1.89,3.48,3.8,1.02,8.7,1.29,3.18,1.98,1.81,3.28,1.27,6.35,1.07,1.8,1.96,,,,,8.5,10.0,18.0,46.0,6.0,5.5,11.0,26.0,7.0,6.5,11.0,36.0,12.0,11.0,20.0,56.0,201.0
