Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
WGj23xjs,01/08/2023,09:15,VIETNAM - V.LEAGUE 1,Viettel,Binh Dinh,CHAMPIONSHIP GROUP ,1.45,4.2,6.49,1.01,9.8,1.24,3.48,1.83,1.95,2.93,1.33,5.45,1.1,1.93,1.83,,,,,9.0,13.0,31.0,91.0,5.0,6.5,17.0,61.0,5.5,6.5,15.0,67.0,8.0,10.0,23.0,91.0,201.0
boiJQ0ZQ,01/08/2023,17:00,PERU - LIGA 1,Dep. Municipal,ADT Tarma,CLAUSURA ,2.5,3.25,2.9,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.67,2.1,2.43,1.53,1.43,2.75,10.0,10.0,15.0,29.0,9.0,6.0,11.0,23.0,12.0,10.0,13.0,29.0,23.0,19.0,29.0,41.0,201.0
6cZMHQi3,01/08/2023,19:00,BRAZIL - SERIE B,Mirassol,Avai,ROUND 21,1.64,3.7,5.8,1.05,7.2,1.41,2.64,2.34,1.61,4.25,1.18,8.3,1.03,2.27,1.6,,,,,7.5,12.0,26.0,101.0,5.0,7.0,19.0,71.0,6.5,8.0,20.0,91.0,11.0,14.0,34.0,151.0,201.0
SCNVF4MF,01/08/2023,19:00,BRAZIL - SERIE B,Sampaio Correa,Botafogo SP,ROUND 21,2.16,3.13,3.68,1.08,6.1,1.57,2.43,2.61,1.42,5.1,1.11,10.2,7.9,2.23,1.62,,,,,6.0,8.0,15.0,46.0,6.0,5.5,12.0,36.0,9.5,9.5,17.0,56.0,21.0,21.0,41.0,101.0,201.0
UiWLPfSK,01/08/2023,19:00,SOUTH AMERICA - COPA LIBERTADORES,Argentinos Jrs (Arg),Fluminense (Bra),PLAY OFFS ,2.38,3.1,3.2,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.75,2.3,1.6,1.35,3.1,7.0,8.0,15.0,34.0,6.5,6.0,12.0,29.0,10.0,10.0,17.0,41.0,23.0,21.0,41.0,67.0,451.0
EDHWth1R,01/08/2023,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Libertad Asuncion (Par),Fortaleza (Bra),PLAY OFFS ,2.15,3.25,3.5,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.8,2.08,1.73,1.28,3.55,8.0,9.0,17.0,41.0,6.5,6.5,13.0,29.0,9.5,9.0,17.0,41.0,19.0,19.0,34.0,51.0,351.0
AkGKRGc8,01/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Bolivar (Bol),Athletico-PR (Bra),PLAY OFFS ,1.91,3.6,4.0,1.06,10.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.8,1.95,1.88,1.98,1.24,3.9,10.0,12.0,21.0,41.0,7.5,6.5,13.0,34.0,9.0,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
rqOY3D51,01/08/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,River Plate (Arg),Internacional (Bra),PLAY OFFS ,1.5,4.33,6.5,1.06,10.0,1.3,3.4,2.0,1.85,3.5,1.29,7.0,1.1,2.1,1.67,1.48,2.6,1.13,5.9,10.0,13.0,34.0,81.0,6.0,8.5,19.0,51.0,6.5,8.5,21.0,51.0,10.0,13.0,29.0,67.0,501.0
2R3vN5dI,01/08/2023,21:00,SOUTH AMERICA - COPA SUDAMERICANA,Emelec (Ecu),Defensa y Justicia (Arg),PLAY OFFS ,2.4,3.1,3.2,1.07,9.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.83,1.83,2.35,1.58,1.38,3.0,8.5,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,23.0,21.0,29.0,51.0,251.0
Gzu8dGLf,01/08/2023,21:30,BRAZIL - SERIE B,CRB,Atletico GO,ROUND 21,2.4,3.1,3.18,1.06,6.65,1.42,2.61,2.39,1.59,4.25,1.17,8.3,1.03,1.98,1.79,,,,,7.5,8.0,13.0,34.0,7.0,5.5,10.0,26.0,11.0,9.5,14.0,41.0,23.0,20.0,34.0,81.0,201.0
Ymgbkugo,01/08/2023,21:30,SOUTH AMERICA - COPA SUDAMERICANA,Corinthians (Bra),Newells Old Boys (Arg),PLAY OFFS ,2.0,3.2,4.2,1.11,6.5,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.38,1.53,1.98,1.88,1.23,4.0,6.5,8.0,19.0,41.0,5.0,6.5,15.0,41.0,8.0,10.0,23.0,51.0,17.0,21.0,41.0,81.0,201.0
