Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
A3akSdrc,28/03/2024,14:00,ROMANIA - LIGA 2,Hunedoara,Gloria Buzau,CHAMPIONSHIP GROUP ,2.55,3.0,2.85,2.35,1.53,1.98,1.75
QBRIS3bf,28/03/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,GV San Jose,Always Ready,APERTURA ,4.2,3.4,1.73,1.73,2.08,1.6,2.07
6ZQ8JpkC,28/03/2024,16:30,ITALY - SERIE C,Carrarese,Perugia,GROUP B ,1.98,3.2,3.85,2.27,1.6,2.0,1.72
CYSltojk,28/03/2024,16:45,ITALY - SERIE C,Catania,Giugliano,GROUP C ,1.62,3.6,5.5,2.02,1.75,2.0,1.72
SrS4KQZ5,28/03/2024,16:45,ITALY - SERIE C,Vis Pesaro,Lucchese,GROUP B ,3.2,2.9,2.37,2.42,1.5,2.02,1.7
M5mvZPla,28/03/2024,16:45,ITALY - SERIE C,Gubbio,Torres,GROUP B ,2.7,2.85,2.8,2.52,1.47,2.05,1.7
Aaw9BXuE,28/03/2024,16:45,ITALY - SERIE C,Padova,Pergolettese,GROUP A ,1.45,4.05,7.0,2.05,1.72,2.27,1.57
WGfRyS4t,28/03/2024,16:45,ITALY - SERIE C,Fermana,Rimini,GROUP B ,3.85,3.2,1.98,2.15,1.65,1.9,1.82
EcsnlvsF,28/03/2024,17:00,PERU - LIGA 1,Deportivo Garcilaso,Comerciantes Unidos,APERTURA ,1.67,3.5,5.75,1.85,2.0,1.8,1.91
lxcnZdq1,28/03/2024,18:00,CHILE - PRIMERA DIVISION,A. Italiano,Coquimbo,ROUND 6,2.4,3.4,2.9,2.0,1.85,1.73,2.0
2Jgo4lk0,28/03/2024,20:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Rosario Central,Barracas Central,ROUND 12,2.2,3.25,3.4,2.5,1.5,2.1,1.67
AobrzwUf,28/03/2024,20:30,CHILE - PRIMERA DIVISION,O'Higgins,Deportes Iquique,ROUND 6,2.15,3.4,3.4,1.75,2.05,1.57,2.25
jcRk7ugk,28/03/2024,20:30,VENEZUELA - LIGA FUTVE,Dep. Tachira,Metropolitanos,APERTURA ,1.91,3.15,4.0,2.27,1.5,2.05,1.6
8dpDLniR,28/03/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Blooming,Aurora,APERTURA ,2.4,3.3,2.6,1.9,1.9,1.65,1.98
tAhk3846,28/03/2024,21:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Instituto,Argentinos Jrs,ROUND 12,2.25,3.2,3.4,2.7,1.44,2.2,1.62
p27Mv0c0,28/03/2024,21:00,ECUADOR - LIGA PRO,LDU Quito,Imbabura,FIRST STAGE ,1.25,5.75,8.5,1.67,2.15,2.2,1.62
rDBnTx5k,28/03/2024,22:00,PERU - LIGA 1,Alianza Lima,Los Chankas,APERTURA ,1.22,5.75,15.0,1.57,2.35,2.1,1.67
