Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
zRb7Bu6D,23/07/2023,00:00,FIJI - PREMIER LEAGUE,Navua,Rewa,ROUND 13,3.72,3.56,1.89,1.02,8.9,1.24,3.48,1.85,1.93,2.98,1.32,7.0,1.07,1.7,2.1,,,,,9.0,6.5,8.0,13.0,10.0,6.0,7.0,13.0,17.0,11.0,12.0,21.0,51.0,26.0,36.0,61.0,101.0
xWxjzPrE,23/07/2023,00:00,FIJI - PREMIER LEAGUE,Tailevu Naitasiri,Suva,ROUND 13,4.49,3.82,1.68,,,1.21,3.74,1.76,2.04,2.75,1.37,,,1.7,2.1,,,,,,,,,,,,,,,,,,,,,
rTubY2DQ,23/07/2023,00:00,FIJI - PREMIER LEAGUE,Lautoka,Ba,ROUND 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06mL6OdJ,23/07/2023,05:00,INDONESIA - LIGA 1,Persebaya,RANS Nusantara,ROUND 4,1.48,4.4,5.67,1.02,13.9,1.14,4.65,1.52,2.3,2.38,1.57,3.92,1.19,1.64,2.2,,,,,15.0,19.0,34.0,67.0,7.5,8.0,15.0,41.0,7.0,6.5,13.0,41.0,9.5,9.0,15.0,46.0,67.0
fVuOkJLs,23/07/2023,07:00,VIETNAM - V.LEAGUE 1,Binh Duong,Gia Lai,RELEGATION GROUP ,2.54,3.22,2.62,1.03,8.2,1.32,2.98,2.08,1.73,3.56,1.23,6.9,1.05,1.79,1.98,,,,,7.5,7.0,10.0,23.0,7.0,5.0,8.0,18.0,10.0,8.0,10.0,26.0,21.0,17.0,26.0,56.0,201.0
pImnqSBg,23/07/2023,07:00,SOUTH KOREA - K LEAGUE 2,Cheongju,Seoul E-Land,ROUND 23,2.8,3.1,2.38,1.07,9.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,1.83,1.83,2.75,1.43,1.55,2.38,8.0,7.5,11.0,23.0,8.0,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,351.0
I9ldfaDQ,23/07/2023,07:00,VIETNAM - V.LEAGUE 1,Khanh Hoa,Song Lam Nghe An,RELEGATION GROUP ,2.42,3.15,2.87,1.04,7.5,1.37,2.75,2.23,1.64,3.95,1.19,7.8,1.04,1.87,1.89,,,,,7.0,7.0,11.0,23.0,6.5,5.0,8.5,20.0,9.5,8.0,11.0,26.0,20.0,17.0,26.0,61.0,201.0
tpses6t6,23/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Asan,Bucheon FC 1995,ROUND 23,2.38,3.1,2.8,1.08,8.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.83,1.83,2.38,1.55,1.43,2.75,8.0,8.0,13.0,29.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,351.0
O8njrnRa,23/07/2023,07:30,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Gimcheon Sangmu,ROUND 23,3.1,3.4,2.1,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.62,2.2,3.1,1.35,1.7,2.1,13.0,9.5,11.0,21.0,12.0,7.0,9.0,17.0,17.0,12.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
EL16E1xU,23/07/2023,07:40,POLAND - DIVISION 1,Podbeskidzie,Wisla Plock,ROUND 1,2.5,3.25,2.6,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.67,2.1,2.5,1.5,1.48,2.6,11.0,9.5,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
