Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
Gp4kA8xm,31/05/2024,07:00,JAPAN - J1 LEAGUE,Sagan Tosu,FC Tokyo,ROUND 17,3.1,3.4,2.25,1.83,2.03,1.67,2.1
joNWBNFG,31/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,SJK,Mariehamn,-,1.48,4.1,5.25,1.73,2.08,1.91,1.91
rLJODqo4,31/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,Haka,-,2.15,3.5,2.75,1.7,2.1,1.62,2.2
xrJSC30A,31/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,Ilves,KuPS,-,2.15,3.3,2.88,2.0,1.85,1.8,1.95
nqw827uk,31/05/2024,13:00,FINLAND - YKKONEN,Jazz Pori,Atlantis,-,2.3,3.75,2.45,1.5,2.5,1.44,2.63
YeBAVcEl,31/05/2024,13:00,CZECH REPUBLIC - FORTUNA:LIGA,Mlada Boleslav,Hradec Kralove,CONFERENCE LEAGUE ,2.25,3.25,2.8,1.93,1.93,1.7,2.05
Y9CyBsVM,31/05/2024,14:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,HJK,-,4.1,3.8,1.65,1.65,2.2,1.67,2.1
jLoVUEXn,31/05/2024,14:00,ESTONIA - MEISTRILIIGA,Nomme Utd,Parnu JK Vaprus,ROUND 14,3.3,3.25,2.0,1.8,1.85,1.65,2.18
MiOHrp54,31/05/2024,14:00,DENMARK - SUPERLIGA,FC Copenhagen,Randers FC,CONFERENCE LEAGUE ,1.36,5.0,7.5,1.57,2.35,1.8,1.95
GIF3oYp1,31/05/2024,14:00,BULGARIA - PARVA LIGA,CSKA Sofia,CSKA 1948 Sofia,CONFERENCE LEAGUE ,1.67,3.5,5.75,2.05,1.75,2.0,1.73
plhR8cs6,31/05/2024,14:00,NORWAY - OBOS-LIGAEN,Lyn,Mjondalen,ROUND 11,1.73,3.8,4.5,1.62,2.25,1.62,2.2
Uw3pOpTk,31/05/2024,15:30,SWITZERLAND - SUPER LEAGUE,Thun,Grasshoppers,RELEGATION ,2.6,3.6,2.5,1.8,2.0,1.62,2.2
EeCdwbYl,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Dundalk,Derry City,ROUND 18,4.5,3.4,1.8,2.25,1.62,2.05,1.7
hSK0yNpB,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Waterford,Bohemians,ROUND 18,2.5,3.2,2.75,2.1,1.7,1.8,1.95
I9SmvP0h,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Drogheda,Shamrock Rovers,ROUND 18,6.25,4.1,1.48,1.7,2.1,1.8,1.95
EyMdx3V4,31/05/2024,15:45,IRELAND - PREMIER DIVISION,St. Patricks,Galway,ROUND 18,2.25,3.2,3.1,2.2,1.65,1.91,1.91
WCWiwqGb,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Sligo Rovers,ROUND 18,1.62,3.7,5.5,2.35,1.57,2.25,1.57
QegCLJyA,31/05/2024,16:15,ICELAND - BESTA DEILD KARLA,Hafnarfjordur,Fram,ROUND 9,1.72,3.95,4.1,1.53,2.32,1.55,2.32
S4PGldS9,31/05/2024,19:00,BRAZIL - SERIE B,Ceara,Coritiba,ROUND 8,2.15,3.2,3.5,2.3,1.6,2.0,1.73
CndXHnWg,31/05/2024,19:00,COLOMBIA - PRIMERA A,La Equidad,Once Caldas,APERTURA ,2.0,3.6,3.7,2.0,1.85,1.8,1.91
AgdGLjvf,31/05/2024,20:30,USA - MLS,New York City,San Jose Earthquakes,-,1.62,4.2,5.0,1.57,2.35,1.67,2.1
dx1ixMgh,31/05/2024,21:00,ECUADOR - LIGA PRO,Tecnico U.,EL Nacional,FIRST STAGE ,2.5,3.0,2.9,2.25,1.62,1.83,1.83
MLiDXbQn,31/05/2024,21:30,CHILE - PRIMERA DIVISION,Cobreloa,O'Higgins,ROUND 15,2.55,3.4,2.63,1.75,2.05,1.57,2.25
0fPylPya,31/05/2024,21:30,BRAZIL - SERIE B,Goias,Sport Recife,ROUND 8,2.2,3.1,3.5,2.3,1.6,1.91,1.8
