,Date,League,Home,Away,Goals_H,Goals_A,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay
1,2023-12-07,UKRAINE - PREMIER LEAGUE,Dyn. Kyiv,Metalist 1925,4,2,1.25,1.27,13.5,17.0,6.2,7.2
2,2023-12-07,SLOVENIA - PRVA LIGA,Mura,Rogaska,3,1,1.76,1.85,4.7,5.5,3.95,4.2
3,2023-12-07,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hazem,Al Fateh,2,0,3.65,3.85,2.02,2.08,4.0,4.3
4,2023-12-07,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Damac,Al Ittihad,3,1,3.8,4.1,1.96,2.02,4.0,4.3
5,2023-12-07,SLOVENIA - PRVA LIGA,O. Ljubljana,Bravo,1,1,1.51,1.55,7.4,8.8,4.4,4.9
6,2023-12-07,NETHERLANDS - EREDIVISIE,PSV,Heerenveen,2,0,1.18,1.19,18.5,19.5,9.6,9.8
7,2023-12-07,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Shabab,Al Ettifaq,0,0,2.3,2.38,3.3,3.55,3.45,3.6
8,2023-12-07,ENGLAND - PREMIER LEAGUE,Everton,Newcastle,3,0,3.35,3.4,2.36,2.38,3.5,3.55
9,2023-12-07,FRANCE - LIGUE 1,Brest,Strasbourg,1,1,1.85,1.86,5.2,5.3,3.7,3.75
10,2023-12-07,ENGLAND - PREMIER LEAGUE,Tottenham,West Ham,1,2,1.77,1.78,4.6,4.7,4.5,4.6
11,2023-12-08,MEXICO - LIGA MX,U.N.A.M.- Pumas,U.A.N.L.- Tigres,0,1,2.6,2.68,3.1,3.25,3.2,3.3
12,2023-12-08,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Western United,4,0,1.89,1.94,3.9,4.2,4.4,4.5
13,2023-12-08,AUSTRALIA - A-LEAGUE,Perth Glory,Melbourne City,1,2,3.8,4.1,1.94,1.99,4.1,4.3
14,2023-12-08,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Khaleej,Abha,3,1,2.1,2.18,3.3,3.7,3.85,4.2
15,2023-12-08,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Al Feiha,4,1,2.02,2.12,3.75,4.3,3.45,4.0
16,2023-12-08,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taee,Al Hilal,1,2,19.0,26.0,1.15,1.2,8.6,11.0
17,2023-12-08,UKRAINE - PREMIER LEAGUE,Shakhtar Donetsk,Veres-Rivne,2,0,1.23,1.26,17.5,24.0,6.2,6.8
18,2023-12-08,PORTUGAL - LIGA PORTUGAL,Vizela,Braga,1,3,6.0,6.4,1.6,1.61,4.6,4.8
19,2023-12-08,CROATIA - HNL,Lok. Zagreb,Hajduk Split,1,1,4.8,5.5,1.86,1.93,3.6,3.8
20,2023-12-08,SLOVAKIA - NIKE LIGA,Zilina,Trnava,1,0,2.46,2.64,2.76,3.0,3.7,3.9
21,2023-12-08,POLAND - EKSTRAKLASA,Ruch Chorzow,Zaglebie,2,2,2.98,3.2,2.34,2.48,3.65,3.8
22,2023-12-08,ROMANIA - LIGA 1,Poli Iasi,UTA Arad,1,0,2.3,2.5,3.3,3.85,3.05,3.35
23,2023-12-08,TURKEY - SUPER LIG,Galatasaray,Adana Demirspor,3,1,1.29,1.3,11.5,12.5,7.0,7.4
24,2023-12-08,GERMANY - 2. BUNDESLIGA,Hannover,Karlsruher SC,2,2,2.12,2.18,3.55,3.75,3.75,3.9
25,2023-12-08,GERMANY - 2. BUNDESLIGA,Wehen,Braunschweig,1,3,1.95,1.97,4.1,4.3,4.0,4.1
26,2023-12-08,SPAIN - LALIGA2,Albacete,Villarreal B,2,0,1.56,1.64,6.6,7.4,4.1,4.6
27,2023-12-08,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Al Riyadh,4,1,1.11,1.15,23.0,38.0,11.0,15.0
28,2023-12-08,GERMANY - 3. LIGA,Hallescher,Arminia Bielefeld,2,2,2.64,2.74,2.6,2.74,3.7,4.0
29,2023-12-08,PORTUGAL - LIGA PORTUGAL,Benfica,SC Farense,1,1,1.16,1.17,23.0,24.0,9.8,10.5
30,2023-12-08,SWITZERLAND - CHALLENGE LEAGUE,Schaffhausen,Baden,2,0,1.93,1.98,3.95,4.3,3.95,4.1
31,2023-12-08,SWITZERLAND - CHALLENGE LEAGUE,Stade Nyonnais,Vaduz,1,0,2.7,2.84,2.44,2.64,3.9,4.3
32,2023-12-08,NETHERLANDS - EREDIVISIE,Twente,Excelsior,4,2,1.25,1.27,13.5,15.0,7.4,7.6
33,2023-12-08,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,Patro Eisden,0,1,2.78,3.3,2.24,2.58,3.45,4.0
34,2023-12-08,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,Lommel SK,2,2,3.3,3.85,2.08,2.26,3.45,3.9
35,2023-12-08,HUNGARY - OTP BANK LIGA,Puskas Academy,Kecskemeti TE,3,0,1.86,2.02,4.2,4.9,3.55,4.0
36,2023-12-08,NETHERLANDS - EERSTE DIVISIE,De Graafschap,Cambuur,2,3,2.4,2.54,2.74,2.94,3.8,4.1
37,2023-12-08,NETHERLANDS - EERSTE DIVISIE,Den Haag,Willem II,1,1,2.56,2.78,2.66,2.82,3.55,3.9
38,2023-12-08,NETHERLANDS - EERSTE DIVISIE,Eindhoven FC,FC Emmen,3,2,4.0,4.3,1.94,1.98,3.85,4.0
39,2023-12-08,NETHERLANDS - EERSTE DIVISIE,Groningen,Telstar,2,0,1.37,1.39,9.4,11.0,5.6,6.2
40,2023-12-08,NETHERLANDS - EERSTE DIVISIE,Helmond,Maastricht,1,2,1.96,2.06,3.55,4.0,3.85,4.2
41,2023-12-08,NETHERLANDS - EERSTE DIVISIE,Roda,Jong PSV,2,1,1.46,1.51,6.6,8.2,4.9,5.4
42,2023-12-08,NETHERLANDS - EERSTE DIVISIE,Venlo,Dordrecht,3,1,2.14,2.3,3.1,3.35,4.0,4.3
43,2023-12-08,SWITZERLAND - CHALLENGE LEAGUE,Thun,Sion,1,1,2.3,2.46,2.92,3.2,3.7,3.95
44,2023-12-08,GERMANY - BUNDESLIGA,Hoffenheim,Bochum,3,1,1.72,1.73,5.1,5.2,4.4,4.5
45,2023-12-08,POLAND - EKSTRAKLASA,Pogon Szczecin,Warta Poznan,3,3,1.52,1.59,7.0,8.0,4.2,4.6
46,2023-12-08,BELGIUM - JUPILER PRO LEAGUE,Kortrijk,Westerlo,1,2,2.66,2.94,2.52,2.74,3.75,3.85
47,2023-12-08,ITALY - SERIE A,Juventus,Napoli,1,0,2.44,2.46,3.4,3.45,3.3,3.35
48,2023-12-08,SCOTLAND - CHAMPIONSHIP,Raith,Partick Thistle,4,3,2.42,2.52,3.0,3.1,3.55,3.75
49,2023-12-08,ENGLAND - CHAMPIONSHIP,Coventry,Birmingham,2,0,1.74,1.76,5.6,5.7,3.95,4.0
50,2023-12-08,FRANCE - LIGUE 1,Montpellier,Lens,0,0,3.3,3.4,2.34,2.36,3.6,3.65
51,2023-12-08,SPAIN - LALIGA,Getafe,Valencia,1,0,2.78,2.8,3.1,3.2,3.05,3.1
52,2023-12-08,SPAIN - LALIGA2,Espanyol,Zaragoza,1,1,1.81,1.85,5.3,6.4,3.5,3.7
53,2023-12-09,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Newcastle Jets,0,3,1.88,1.9,4.1,4.3,4.2,4.4
54,2023-12-09,AUSTRALIA - A-LEAGUE,Sydney FC,Macarthur FC,0,2,1.79,1.81,4.3,4.5,4.5,4.7
55,2023-12-09,TURKEY - SUPER LIG,Antalyaspor,Karagumruk,2,1,1.82,1.88,5.0,5.5,3.75,3.9
56,2023-12-09,BULGARIA - PARVA LIGA,Lok. Sofia,Arda,0,1,3.45,3.8,2.36,2.44,3.05,3.3
57,2023-12-09,TURKEY - 1. LIG,Bandirmaspor,Kocaelispor,0,3,2.22,2.38,3.4,3.85,3.35,3.45
58,2023-12-09,TURKEY - 1. LIG,Bodrumspor,Tuzlaspor,1,1,1.38,1.42,8.2,11.0,5.3,5.7
59,2023-12-09,PORTUGAL - LIGA PORTUGAL 2,FC Porto B,AVS,2,3,2.08,2.48,3.25,4.1,3.3,3.95
60,2023-12-09,PORTUGAL - LIGA PORTUGAL 2,Pacos Ferreira,Penafiel,2,1,1.79,1.96,4.9,5.8,3.35,3.9
61,2023-12-09,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Sloga Doboj,Posusje,1,0,1.94,2.42,3.4,4.7,3.05,3.9
62,2023-12-09,GERMANY - 2. BUNDESLIGA,Greuther Furth,Magdeburg,1,1,1.97,2.04,3.9,4.0,3.95,4.1
63,2023-12-09,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Hertha Berlin,1,2,2.46,2.52,2.88,2.92,3.9,3.95
64,2023-12-09,GERMANY - 2. BUNDESLIGA,Hamburger SV,Paderborn,1,2,1.62,1.63,5.4,5.6,5.0,5.1
65,2023-12-09,SERBIA - SUPER LIGA,Radnicki 1923,TSC,0,0,3.75,4.1,1.98,2.12,3.75,4.2
66,2023-12-09,HUNGARY - OTP BANK LIGA,MTK Budapest,Debrecen,2,1,3.35,3.75,2.1,2.28,3.7,4.0
67,2023-12-09,ENGLAND - CHAMPIONSHIP,Blackburn,Leeds,0,2,4.4,4.5,1.8,1.81,4.5,4.6
68,2023-12-09,ENGLAND - CHAMPIONSHIP,Sunderland,West Brom,2,1,2.38,2.42,3.3,3.4,3.5,3.55
69,2023-12-09,ENGLAND - PREMIER LEAGUE,Crystal Palace,Liverpool,1,2,6.8,7.0,1.53,1.54,4.9,5.0
70,2023-12-09,GERMANY - 3. LIGA,Freiburg II,Saarbrucken,0,4,5.1,5.6,1.74,1.82,3.85,4.2
71,2023-12-09,GERMANY - 3. LIGA,Lubeck,Ingolstadt,0,4,3.0,3.4,2.24,2.4,3.55,4.0
72,2023-12-09,GERMANY - 3. LIGA,Sandhausen,Mannheim,3,0,1.63,1.77,4.9,6.2,4.1,4.5
73,2023-12-09,GERMANY - 3. LIGA,Ulm,Dortmund II,1,1,1.77,1.87,4.7,5.2,3.9,4.2
74,2023-12-09,SPAIN - LALIGA,Alaves,Las Palmas,0,1,2.14,2.16,4.4,4.5,3.2,3.25
75,2023-12-09,TURKEY - SUPER LIG,Samsunspor,Kasimpasa,4,2,2.08,2.12,3.7,3.85,3.8,3.9
76,2023-12-09,UKRAINE - PREMIER LEAGUE,Kryvbas,FK Zorya Luhansk,2,2,1.96,2.08,4.3,4.8,3.25,3.55
77,2023-12-09,BULGARIA - PARVA LIGA,Cherno More,Slavia Sofia,3,0,1.63,1.72,6.4,7.6,3.65,3.95
78,2023-12-09,ITALY - SERIE B,Ascoli,Spezia,1,2,3.15,3.4,2.56,2.74,3.1,3.25
79,2023-12-09,ITALY - SERIE B,Bari,Sudtirol,2,1,1.93,1.99,5.2,5.8,3.25,3.35
80,2023-12-09,ITALY - SERIE B,Cittadella,Cosenza,2,0,2.16,2.3,3.95,4.3,3.15,3.3
81,2023-12-09,ITALY - SERIE B,Cremonese,Venezia,1,0,2.0,2.04,4.1,4.3,3.6,3.75
82,2023-12-09,ITALY - SERIE B,Sampdoria,Lecco,2,0,1.76,1.84,5.0,5.6,3.75,3.9
83,2023-12-09,ITALY - SERIE B,Ternana,FeralpiSalo,2,1,1.96,2.06,4.3,4.8,3.45,3.6
84,2023-12-09,TURKEY - 1. LIG,Umraniyespor,Keciorengucu,2,0,2.06,2.2,3.65,4.2,3.4,3.8
85,2023-12-09,AUSTRIA - BUNDESLIGA,Rapid Vienna,Salzburg,0,1,2.94,3.2,2.34,2.5,3.65,3.9
86,2023-12-09,CROATIA - HNL,Gorica,Istra 1961,0,0,1.95,2.1,4.2,5.4,3.15,3.65
87,2023-12-09,ITALY - SERIE A,Verona,Lazio,1,1,4.4,4.5,2.02,2.04,3.55,3.6
88,2023-12-09,POLAND - EKSTRAKLASA,Radomiak Radom,Gornik Zabrze,1,1,2.18,2.28,3.55,3.9,3.4,3.5
89,2023-12-09,PORTUGAL - LIGA PORTUGAL 2,Tondela,Santa Clara,2,3,3.05,3.65,2.36,2.76,2.9,3.35
90,2023-12-09,SLOVAKIA - NIKE LIGA,Michalovce,Skalica,1,1,2.38,3.15,2.66,3.6,2.84,3.9
91,2023-12-09,SLOVAKIA - NIKE LIGA,Podbrezova,Slovan Bratislava,0,6,3.25,3.8,2.04,2.24,3.4,4.1
92,2023-12-09,SLOVAKIA - NIKE LIGA,Z. Moravce-Vrable,Kosice,1,1,2.36,2.88,2.66,3.3,3.2,3.8
93,2023-12-09,CZECH REPUBLIC - FORTUNA:LIGA,Slovacko,Bohemians,5,2,1.71,1.79,4.9,5.9,3.75,4.2
94,2023-12-09,CZECH REPUBLIC - FORTUNA:LIGA,Sparta Prague,Jablonec,3,0,1.18,1.22,18.5,23.0,7.4,9.0
95,2023-12-09,SLOVENIA - PRVA LIGA,Aluminij,Celje,1,3,9.2,14.0,1.34,1.4,5.1,5.8
96,2023-12-09,GERMANY - BUNDESLIGA,Eintracht Frankfurt,Bayern Munich,5,1,10.0,10.5,1.34,1.35,6.4,6.6
97,2023-12-09,GERMANY - BUNDESLIGA,Heidenheim,Darmstadt,3,2,2.14,2.16,3.7,3.75,3.75,3.8
98,2023-12-09,GERMANY - BUNDESLIGA,Union Berlin,B. Monchengladbach,3,1,2.2,2.22,3.55,3.6,3.7,3.8
99,2023-12-09,GERMANY - BUNDESLIGA,Werder Bremen,Augsburg,2,0,2.42,2.44,3.0,3.05,3.85,3.9
100,2023-12-09,GERMANY - BUNDESLIGA,Wolfsburg,Freiburg,0,1,2.36,2.38,3.15,3.2,3.8,3.85
101,2023-12-09,HUNGARY - OTP BANK LIGA,Zalaegerszegi,Ujpest,1,1,2.6,2.9,2.46,2.78,3.45,4.0
102,2023-12-09,BELGIUM - CHALLENGER PRO LEAGUE,St. Liege U23,Dender,0,4,4.8,6.4,1.58,1.71,3.9,4.7
103,2023-12-09,BELGIUM - JUPILER PRO LEAGUE,Cercle Brugge KSV,Antwerp,1,3,2.88,3.0,2.52,2.6,3.65,3.7
104,2023-12-09,ENGLAND - CHAMPIONSHIP,Cardiff,Millwall,1,0,2.16,2.2,4.0,4.1,3.35,3.4
105,2023-12-09,ENGLAND - CHAMPIONSHIP,Huddersfield,Bristol City,1,1,3.25,3.3,2.56,2.58,3.25,3.35
106,2023-12-09,ENGLAND - CHAMPIONSHIP,Leicester,Plymouth,4,0,1.3,1.32,11.0,12.5,6.6,6.8
107,2023-12-09,ENGLAND - CHAMPIONSHIP,Middlesbrough,Ipswich,0,2,2.48,2.5,2.9,2.92,3.85,3.9
108,2023-12-09,ENGLAND - CHAMPIONSHIP,Norwich,Preston,0,0,1.97,1.98,4.4,4.5,3.75,3.8
109,2023-12-09,ENGLAND - CHAMPIONSHIP,QPR,Hull,2,0,3.3,3.35,2.44,2.46,3.45,3.5
110,2023-12-09,ENGLAND - CHAMPIONSHIP,Rotherham,Swansea,1,2,3.6,3.65,2.24,2.26,3.6,3.65
111,2023-12-09,ENGLAND - CHAMPIONSHIP,Stoke,Sheffield Wed,0,1,2.06,2.08,4.4,4.6,3.4,3.45
112,2023-12-09,ENGLAND - CHAMPIONSHIP,Watford,Southampton,1,1,3.3,3.35,2.32,2.34,3.65,3.7
113,2023-12-09,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Al Raed,0,0,1.37,1.41,8.0,10.0,5.4,5.9
114,2023-12-09,SCOTLAND - CHAMPIONSHIP,Airdrieonians,Dunfermline,1,2,2.52,2.82,2.7,3.05,3.35,3.75
115,2023-12-09,SCOTLAND - CHAMPIONSHIP,Arbroath,Morton,1,2,2.86,3.3,2.44,2.68,3.3,3.6
116,2023-12-09,ENGLAND - LEAGUE ONE,Blackpool,Carlisle,3,0,1.53,1.54,8.0,8.4,4.4,4.6
117,2023-12-09,ENGLAND - LEAGUE ONE,Bristol Rovers,Cheltenham,1,1,1.66,1.67,5.9,6.2,4.2,4.3
118,2023-12-09,ENGLAND - LEAGUE ONE,Burton,Stevenage,1,2,3.3,3.35,2.32,2.36,3.65,3.7
119,2023-12-09,ENGLAND - LEAGUE ONE,Charlton,Cambridge Utd,2,2,1.63,1.65,6.2,6.4,4.2,4.4
120,2023-12-09,ENGLAND - LEAGUE ONE,Exeter,Port Vale,0,1,2.6,2.62,2.9,2.94,3.6,3.65
121,2023-12-09,ENGLAND - LEAGUE ONE,Leyton Orient,Derby,0,3,4.1,4.2,2.08,2.1,3.55,3.6
122,2023-12-09,ENGLAND - LEAGUE ONE,Northampton,Fleetwood,3,0,2.38,2.4,3.35,3.4,3.45,3.5
123,2023-12-09,ENGLAND - LEAGUE ONE,Peterborough,Oxford Utd,3,0,1.92,1.93,4.3,4.4,3.9,4.0
124,2023-12-09,ENGLAND - LEAGUE ONE,Reading,Barnsley,1,3,2.88,2.9,2.62,2.64,3.65,3.7
125,2023-12-09,ENGLAND - LEAGUE ONE,Wigan,Lincoln,0,0,2.36,2.38,3.3,3.4,3.55,3.6
126,2023-12-09,ENGLAND - LEAGUE ONE,Wycombe,Shrewsbury,0,1,1.98,2.0,4.5,4.6,3.6,3.65
127,2023-12-09,ENGLAND - LEAGUE TWO,Accrington,Doncaster,0,0,2.08,2.12,3.55,3.8,3.9,4.0
128,2023-12-09,ENGLAND - LEAGUE TWO,AFC Wimbledon,Swindon,4,0,1.98,1.99,3.75,3.95,4.1,4.3
129,2023-12-09,ENGLAND - LEAGUE TWO,Colchester,Crawley,1,2,2.42,2.46,3.0,3.1,3.85,3.95
130,2023-12-09,ENGLAND - LEAGUE TWO,Grimsby,Crewe,2,1,2.46,2.48,3.0,3.05,3.7,3.75
131,2023-12-09,ENGLAND - LEAGUE TWO,Morecambe,Stockport County,1,1,5.4,5.6,1.72,1.75,4.0,4.3
132,2023-12-09,ENGLAND - LEAGUE TWO,Notts Co,Walsall,1,2,1.59,1.6,6.0,6.4,4.7,4.8
133,2023-12-09,ENGLAND - LEAGUE TWO,Tranmere,Newport,2,1,2.42,2.46,3.05,3.1,3.65,3.75
134,2023-12-09,ENGLAND - PREMIER LEAGUE,Brighton,Burnley,1,1,1.5,1.51,7.2,7.4,5.0,5.1
135,2023-12-09,ENGLAND - PREMIER LEAGUE,Manchester Utd,Bournemouth,0,3,1.59,1.6,5.9,6.0,4.8,4.9
136,2023-12-09,ENGLAND - PREMIER LEAGUE,Sheffield Utd,Brentford,1,0,4.7,4.8,1.89,1.9,3.85,3.9
137,2023-12-09,ENGLAND - PREMIER LEAGUE,Wolves,Nottingham,1,1,1.95,1.96,4.5,4.6,3.7,3.75
138,2023-12-09,SCOTLAND - LEAGUE ONE,Alloa,Hamilton,0,0,5.9,8.4,1.51,1.57,4.6,5.2
139,2023-12-09,SCOTLAND - LEAGUE ONE,Annan,Cove Rangers,1,3,4.2,4.9,1.75,1.82,4.3,4.8
140,2023-12-09,SCOTLAND - LEAGUE ONE,Edinburgh City,Stirling,1,3,6.6,7.2,1.51,1.52,5.1,5.2
141,2023-12-09,SCOTLAND - LEAGUE ONE,Falkirk,Kelty Hearts,2,1,1.28,1.33,10.5,13.5,5.8,6.8
142,2023-12-09,SCOTLAND - LEAGUE ONE,Montrose,Queen of South,1,4,2.0,2.1,3.4,3.8,4.0,4.3
143,2023-12-09,SCOTLAND - LEAGUE TWO,Bonnyrigg Rose,Peterhead,1,1,3.1,3.45,2.36,2.4,3.5,3.8
144,2023-12-09,SCOTLAND - LEAGUE TWO,Clyde,Stranraer,2,2,2.42,2.54,2.94,3.1,3.55,3.75
145,2023-12-09,SCOTLAND - LEAGUE TWO,Dumbarton,Stenhousemuir,0,1,2.22,2.48,2.98,3.6,3.35,3.85
146,2023-12-09,SCOTLAND - LEAGUE TWO,East Fife,Elgin City,4,0,1.85,1.9,4.3,4.4,4.1,4.3
147,2023-12-09,SCOTLAND - LEAGUE TWO,Spartans,Forfar Athletic,1,0,2.22,2.28,3.4,3.5,3.65,3.85
148,2023-12-09,SCOTLAND - PREMIERSHIP,Aberdeen,Hearts,2,1,2.64,2.74,2.86,2.96,3.45,3.5
149,2023-12-09,SCOTLAND - PREMIERSHIP,Livingston,Hibernian,0,1,3.75,3.85,2.16,2.2,3.5,3.6
150,2023-12-09,SCOTLAND - PREMIERSHIP,Motherwell,St Johnstone,1,1,2.22,2.24,3.95,4.0,3.35,3.4
151,2023-12-09,SCOTLAND - PREMIERSHIP,Rangers,Dundee FC,3,1,1.17,1.18,25.0,30.0,8.8,9.4
152,2023-12-09,SCOTLAND - PREMIERSHIP,St. Mirren,Ross County,2,0,2.3,2.34,3.65,3.75,3.3,3.4
153,2023-12-09,SPAIN - LALIGA,Betis,Real Madrid,1,1,4.6,4.7,1.83,1.84,4.1,4.2
154,2023-12-09,SPAIN - LALIGA2,Valladolid,Amorebieta,2,1,1.43,1.46,10.0,11.0,4.6,5.0
155,2023-12-09,ITALY - SERIE B,Catanzaro,Pisa,2,0,2.32,2.44,3.4,3.75,3.2,3.35
156,2023-12-09,GERMANY - 3. LIGA,Aue,Duisburg,1,1,2.0,2.36,3.45,4.4,3.2,3.75
157,2023-12-09,PORTUGAL - LIGA PORTUGAL,Portimonense,Famalicao,1,1,3.05,3.2,2.56,2.62,3.35,3.5
158,2023-12-09,BULGARIA - PARVA LIGA,Botev Vratsa,Levski Sofia,0,1,9.8,15.0,1.34,1.44,4.1,5.8
159,2023-12-09,CROATIA - HNL,D. Zagreb,Rudes,1,0,1.11,1.12,34.0,70.0,11.0,14.0
160,2023-12-09,FRANCE - LIGUE 1,Rennes,Monaco,1,2,2.64,2.66,2.74,2.76,3.8,3.85
161,2023-12-09,TURKEY - SUPER LIG,Besiktas,Fenerbahce,1,3,4.2,4.5,1.92,1.96,3.9,4.1
162,2023-12-09,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Austria Vienna,2,2,3.3,3.7,2.22,2.36,3.25,3.65
163,2023-12-09,TURKEY - 1. LIG,Sakaryaspor,Giresunspor,3,1,1.32,1.4,8.0,12.5,5.6,6.6
164,2023-12-09,POLAND - EKSTRAKLASA,Cracovia,Stal Mielec,2,2,1.81,1.89,4.6,5.1,3.6,3.95
165,2023-12-09,ITALY - SERIE A,Atalanta,AC Milan,3,2,2.64,2.66,3.05,3.1,3.35,3.4
166,2023-12-09,CZECH REPUBLIC - FORTUNA:LIGA,Hradec Kralove,Ostrava,2,3,3.1,3.95,2.28,2.5,3.25,3.6
167,2023-12-09,SWITZERLAND - SUPER LEAGUE,Basel,Grasshoppers,0,1,2.12,2.16,3.5,3.75,3.75,4.0
168,2023-12-09,SWITZERLAND - SUPER LEAGUE,Young Boys,St. Gallen,3,0,2.04,2.06,3.65,3.7,4.2,4.3
169,2023-12-09,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,Leuven,1,1,1.81,1.95,3.95,4.6,4.0,4.3
170,2023-12-09,GERMANY - BUNDESLIGA,Dortmund,RB Leipzig,2,3,2.7,2.72,2.58,2.6,4.1,4.2
171,2023-12-09,SPAIN - LALIGA,Villarreal,Real Sociedad,0,3,3.5,3.6,2.24,2.26,3.6,3.65
172,2023-12-09,SPAIN - LALIGA2,Gijon,Levante,0,0,2.04,2.08,4.1,4.4,3.5,3.6
173,2023-12-09,ENGLAND - PREMIER LEAGUE,Aston Villa,Arsenal,1,0,3.5,3.6,2.16,2.18,3.85,3.9
174,2023-12-09,SERBIA - SUPER LIGA,Zeleznicar Pancevo,Sp. Subotica,2,1,2.2,2.86,2.84,3.9,2.6,3.7
175,2023-12-09,NETHERLANDS - EREDIVISIE,Ajax,Sparta Rotterdam,2,1,1.37,1.38,9.0,9.2,6.0,6.2
176,2023-12-09,PORTUGAL - LIGA PORTUGAL,Vitoria Guimaraes,Sporting CP,3,2,5.8,6.0,1.63,1.64,4.5,4.6
177,2023-12-09,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Wehda,Al Akhdoud,2,0,1.74,1.98,3.7,5.2,3.4,4.7
178,2023-12-09,ROMANIA - LIGA 1,FC Rapid Bucuresti,FC Voluntari,1,2,1.73,1.83,5.1,5.9,3.7,4.0
179,2023-12-09,BELGIUM - CHALLENGER PRO LEAGUE,Club Brugge KV U23,Anderlecht U23,0,1,2.36,2.88,2.42,2.96,3.3,4.8
180,2023-12-09,BELGIUM - CHALLENGER PRO LEAGUE,Lierse K.,Waregem,0,1,4.1,5.0,1.71,1.83,4.1,5.8
181,2023-12-09,NETHERLANDS - EREDIVISIE,Zwolle,Nijmegen,1,3,2.3,2.38,3.2,3.3,3.65,3.85
182,2023-12-09,POLAND - EKSTRAKLASA,Slask Wroclaw,Korona Kielce,0,0,2.34,2.5,3.35,3.6,3.25,3.4
183,2023-12-09,GERMANY - 2. BUNDESLIGA,VfL Osnabruck,St. Pauli,1,1,6.0,7.4,1.53,1.58,4.5,4.9
184,2023-12-09,SWITZERLAND - SUPER LEAGUE,Lausanne,Servette,1,1,2.7,3.0,2.44,2.7,3.65,3.85
185,2023-12-09,BELGIUM - JUPILER PRO LEAGUE,Gent,RWDM,4,0,1.32,1.36,8.8,10.0,6.6,6.8
186,2023-12-09,ITALY - SERIE A,Inter,Udinese,4,0,1.29,1.3,12.5,13.0,6.8,7.0
187,2023-12-09,NETHERLANDS - EREDIVISIE,AZ Alkmaar,Almere City,4,1,1.2,1.22,16.5,19.5,8.0,8.8
188,2023-12-09,SPAIN - LALIGA,Mallorca,Sevilla,1,0,2.74,2.76,3.1,3.15,3.2,3.25
189,2023-12-09,SPAIN - LALIGA2,Burgos CF,Mirandes,0,0,2.1,2.2,3.95,4.4,3.3,3.4
190,2023-12-09,PORTUGAL - LIGA PORTUGAL,FC Porto,Casa Pia,3,1,1.23,1.24,16.5,18.0,7.2,7.6
191,2023-12-09,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Godoy Cruz,Platense,1,2,2.52,2.78,3.25,3.7,2.72,2.98
192,2023-12-09,USA - MLS,Columbus Crew,Los Angeles FC,2,1,2.28,2.4,3.05,3.4,3.55,3.85
193,2023-12-09,ARGENTINA - COPA DE LA LIGA PROFESIONAL,River Plate,Rosario Central,0,1,1.59,1.62,6.6,8.0,4.1,4.4
194,2023-12-09,MEXICO - LIGA MX,Club America,Atl. San Luis,0,2,1.33,1.39,8.0,10.0,5.7,6.8
195,2023-12-10,AUSTRALIA - A-LEAGUE,Adelaide United,Brisbane Roar,0,2,2.26,2.36,2.82,2.96,4.4,4.7
196,2023-12-10,AUSTRALIA - A-LEAGUE,WS Wanderers,Melbourne Victory,3,4,2.54,2.64,2.72,2.84,3.8,4.0
197,2023-12-10,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Krumovgrad,0,3,1.4,1.45,9.4,12.0,4.5,5.0
198,2023-12-10,TURKEY - 1. LIG,Corum,Erzurumspor,4,1,1.89,2.06,4.3,5.0,3.4,3.75
199,2023-12-10,TURKEY - 1. LIG,Manisa FK,Adanaspor AS,1,1,1.47,1.52,7.0,8.6,4.5,5.0
200,2023-12-10,TURKEY - SUPER LIG,Istanbulspor AS,Alanyaspor,0,1,2.88,3.1,2.54,2.66,3.4,3.6
201,2023-12-10,PORTUGAL - LIGA PORTUGAL 2,Mafra,Academico Viseu,1,1,2.08,2.46,3.25,3.9,3.25,3.8
202,2023-12-10,UKRAINE - PREMIER LEAGUE,Vorskla Poltava,Rukh Lviv,1,1,2.36,2.84,2.74,3.4,3.15,4.0
203,2023-12-10,NETHERLANDS - EREDIVISIE,G.A. Eagles,Utrecht,0,2,2.26,2.28,3.4,3.5,3.7,3.75
