id,league_id,league,utc_time,date,time,home,away,ft_ml_h_opening,ft_ml_d_opening,ft_ml_a_opening,ft_ml_h_closing,ft_ml_d_closing,ft_ml_a_closing,ft_ah_handicap_opening,ft_ah_h_opening,ft_ah_a_opening,ft_ah_handicap_closing,ft_ah_h_closing,ft_ah_a_closing,ft_ou_handicap_opening,ft_ou_o_opening,ft_ou_u_opening,ft_ou_handicap_closing,ft_ou_o_closing,ft_ou_u_closing
8335086,32373,Mexico Liga MX,1721271600,2024-07-18,00:00,Toluca,Mazatlan FC,1.4,4.5,7.5,1.3,5.5,9.5,-1.25,1.85,2.0,-1.75,2.025,1.825,3.25,1.825,2.025,3.5,1.925,1.925
8335353,32373,Mexico Liga MX,1721271600,2024-07-18,00:00,Tigres UANL,Club America,2.875,3.3,2.4,2.0,3.5,3.75,0.0,1.925,1.925,-0.5,2.0,1.85,2.5,1.925,1.925,2.5,1.9,1.95
8192618,823,U19 Euro Championships Women,1721300400,2024-07-18,08:00,Rep of Ireland U19 Women,Germany U19 Women,15.0,9.0,1.1,12.0,7.0,1.166,2.25,1.8,2.0,2.25,1.8,2.0,3.5,1.975,1.825,3.5,1.975,1.825
8088729,907,Singapore Premier League,1721303100,2024-07-18,08:45,Lion City Sailors FC,Tampines Rovers FC,1.833,4.5,2.9,1.8,4.5,3.1,-0.5,1.9,1.95,-0.5,1.85,2.0,4.0,1.95,1.9,4.0,1.95,1.9
8365786,5720,UEFA Europa League Qualifying,1721313000,2024-07-18,11:30,KF Llapi,Wisla Krakow,3.25,3.5,2.0,3.0,3.25,2.15,0.0,1.825,1.975,0.25,1.875,1.925,2.5,1.85,1.95,2.5,1.85,1.95
8365712,33931,UEFA Conference League Qualifying,1721314800,2024-07-18,12:00,KuPS Kuopio,UNA Strassen,1.363,4.75,6.5,1.2,5.75,10.0,-1.25,1.825,1.975,-1.75,1.8,2.0,2.75,1.85,1.95,3.0,1.95,1.85
8364986,5720,UEFA Europa League Qualifying,1721314800,2024-07-18,12:00,Tobol Kostanay,MFK Ruzomberok,1.909,3.75,3.3,1.615,3.9,4.75,-1.0,1.975,1.825,-0.75,1.825,1.975,2.75,1.825,1.975,2.75,1.9,1.9
8401196,33931,UEFA Conference League Qualifying,1721318400,2024-07-18,13:00,Inter Club dEscaldes,Velez Mostar,3.25,3.25,2.1,3.4,3.25,2.05,0.25,1.9,1.9,0.25,2.0,1.8,2.25,1.9,1.9,2.25,1.95,1.85
8365717,33931,UEFA Conference League Qualifying,1721318400,2024-07-18,13:00,FC Levadia Tallinn,FK Siauliai,1.4,4.5,6.5,1.4,4.75,6.0,-1.0,1.8,2.0,-1.25,1.825,1.975,3.0,1.9,1.9,3.0,1.85,1.95
8365715,33931,UEFA Conference League Qualifying,1721318400,2024-07-18,13:00,St Josephs FC,Shelbourne,4.5,4.0,1.615,3.0,3.75,2.0,0.75,1.85,1.95,0.25,2.0,1.8,2.75,1.925,1.875,2.5,1.975,1.825
8365711,33931,UEFA Conference League Qualifying,1721318400,2024-07-18,13:00,FK Zalgiris Vilnius,VPS Vaasa,1.8,3.6,3.8,1.533,4.333,4.5,-1.0,1.825,1.975,-1.0,1.85,1.95,2.75,1.9,1.9,3.0,2.025,1.775
8364753,5720,UEFA Europa League Qualifying,1721318400,2024-07-18,13:00,Zira IK,Sheriff Tiraspol,2.75,3.4,2.3,3.1,3.5,2.05,0.25,1.775,2.025,0.25,1.975,1.825,2.25,1.975,1.825,2.25,1.95,1.85
8363502,33931,UEFA Conference League Qualifying,1721318400,2024-07-18,13:00,FC Milsami,Torpedo Zhodino,2.5,3.2,2.625,3.0,3.5,2.1,0.25,1.75,2.05,0.25,1.925,1.875,2.25,1.825,1.975,2.5,1.95,1.85
8365785,5720,UEFA Europa League Qualifying,1721318400,2024-07-18,13:00,Pafos FC,Elfsborg,2.5,3.6,2.4,2.0,3.8,3.0,-0.25,1.975,1.825,-0.25,1.825,1.975,2.75,1.825,1.975,3.0,1.875,1.925
8365001,33931,UEFA Conference League Qualifying,1721320200,2024-07-18,13:30,Paide Linnameeskond,Bala Town,1.4,4.5,6.5,1.5,4.5,5.0,-1.0,1.8,2.0,-1.0,1.775,2.025,3.0,1.9,1.9,2.75,1.825,1.975
8395439,68,Germany Regionalliga Bayern,1721322000,2024-07-18,14:00,Wacker Burghausen,Bayern Munich II,3.0,3.6,2.0,2.9,3.5,2.15,0.25,1.9,1.95,0.25,1.9,1.95,3.0,1.95,1.9,3.0,1.95,1.9
